dataset,client_count,attacker_count,cohort_mode,variant,trust_estimator,attack_scenario,noniid_alpha,repeat,stage,attacker_fraction,normal_nodes,target_initial_limited_rate,target_initial_admitted_rate,normal_initial_admitted_rate,target_onboarding_seconds_mean,normal_onboarding_seconds_mean,target_returned_updates_after_start,target_aggregated_updates_after_start,target_effective_aggregation_share_after_start,target_rffl_removals,normal_rffl_removals,update_payload_bytes,server_processing_seconds,configuration_runtime_seconds,controller_state_bytes,final_accuracy,final_backdoor_asr,total_rounds,target_full_access_round_mean,target_promoted_rate,target_effective_aggregation_share_early,target_effective_aggregation_share_late,backdoor_asr_auc_after_start,backdoor_asr_at_round_8,backdoor_asr_growth_round_8_to_final,first_round_asr_ge_10pct,first_round_asr_ge_20pct,first_round_asr_ge_30pct,target_effective_aggregation_share_sustained,target_limited_returned_update_rate_after_start,target_full_weight_aggregated_update_rate_after_start,target_lease_expirations,target_lease_renewals,normal_lease_expirations
fashion_mnist,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.5,0,formal,0.1,18,1.0,0.0,1.0,3.375147819519043,9.663729773627388,98,98,0.06355428619519578,0,0,31400000,41.01634142000001,198.0917972,8326815,0.8398,0.013333333333333334,50,5.0,1.0,0.04300664772803007,0.06486374341158439,0.01316435185185185,0.009555555555555555,0.003777777777777779,nan,nan,nan,0.06267073072131157,0.4897959183673469,0.5102040816326531,10,8,0
fashion_mnist,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.5,1,formal,0.1,18,1.0,0.0,1.0,2.6374282836914062,14.48404233985477,98,98,0.11114165144292172,0,0,31400000,39.106447489999994,163.3065304,8449719,0.8394,0.029555555555555557,50,5.0,1.0,0.07646488544093838,0.11331294710739069,0.022240740740740752,0.019555555555555555,0.010000000000000002,nan,nan,nan,0.10967400015662618,0.4897959183673469,0.5102040816326531,10,8,0
fashion_mnist,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.5,2,formal,0.1,18,1.0,0.0,1.0,3.2613816261291504,16.25715188185374,98,98,0.07302129698750155,0,0,31400000,39.086044509999994,167.304935,8433359,0.8372,0.016,50,5.0,1.0,0.04957491796417564,0.07451029085613428,0.01910416666666667,0.016888888888888887,-0.000888888888888887,nan,nan,nan,0.07201624873535495,0.4897959183673469,0.5102040816326531,10,8,0
fashion_mnist,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.5,3,formal,0.1,18,1.0,0.0,1.0,2.7827380895614624,14.57954872979058,98,98,0.10207611986520457,0,0,31400000,37.441140149999995,167.8280894,8433359,0.827,0.011333333333333334,50,5.0,1.0,0.07000508177508404,0.10409104883452314,0.019525462962962963,0.018222222222222223,-0.006888888888888889,nan,nan,nan,0.10071461679479958,0.4897959183673469,0.5102040816326531,10,8,0
fashion_mnist,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.5,4,formal,0.1,18,1.0,0.0,1.0,2.9086018800735474,11.242892093128628,98,98,0.05319292545131816,0,0,31400000,39.28364807,162.0365989,8318647,0.8332,0.021555555555555557,50,5.0,1.0,0.03586689147602632,0.054301279187120355,0.02371296296296296,0.03155555555555556,-0.010000000000000002,nan,nan,nan,0.0524453499161061,0.4897959183673469,0.5102040816326531,10,8,0
fashion_mnist,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,diverse_then_repeat_backdoor,0.5,0,formal,0.1,18,1.0,0.0,1.0,3.1754767894744873,9.649046262105307,98,98,0.06355428619519578,0,0,31400000,37.83281492,192.9974692,8326863,0.8428,0.6228888888888889,50,5.0,1.0,0.04300664772803006,0.0648637434115844,0.3571296296296296,0.10444444444444445,0.5184444444444445,8.0,16.0,18.0,0.06267073072131159,0.4897959183673469,0.5102040816326531,10,8,0
fashion_mnist,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,diverse_then_repeat_backdoor,0.5,1,formal,0.1,18,1.0,0.0,1.0,2.7249982357025146,14.654654224713644,98,98,0.11114165144292172,0,0,31400000,38.15501746,163.2168259,8331007,0.8372,0.8722222222222222,50,5.0,1.0,0.07646488544093841,0.11331294710739066,0.6049189814814815,0.29733333333333334,0.5748888888888889,5.0,7.0,9.0,0.10967400015662616,0.4897959183673469,0.5102040816326531,10,8,0
fashion_mnist,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,diverse_then_repeat_backdoor,0.5,2,formal,0.1,18,1.0,0.0,1.0,2.5979971885681152,16.214905129538643,98,98,0.07302129698750155,0,0,31400000,39.89262025000001,167.4678601,8408759,0.8382,0.7088888888888889,50,5.0,1.0,0.04957491796417565,0.07451029085613425,0.447662037037037,0.1351111111111111,0.5737777777777778,7.0,12.0,17.0,0.07201624873535495,0.4897959183673469,0.5102040816326531,10,8,0
fashion_mnist,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,diverse_then_repeat_backdoor,0.5,3,formal,0.1,18,1.0,0.0,1.0,2.840218663215637,14.428848054673937,98,98,0.10207611986520457,0,0,31400000,37.938000699999996,162.1454595,8425167,0.829,0.7851111111111111,50,5.0,1.0,0.07000508177508405,0.10409104883452311,0.5575902777777778,0.24755555555555556,0.5375555555555556,6.0,8.0,10.0,0.1007146167947996,0.4897959183673469,0.5102040816326531,10,8,0
fashion_mnist,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,diverse_then_repeat_backdoor,0.5,4,formal,0.1,18,1.0,0.0,1.0,3.2945754528045654,11.263367454210917,98,98,0.05319292545131815,0,0,31400000,39.61259533999999,162.5982842,8343247,0.835,0.5877777777777777,50,5.0,1.0,0.03586689147602632,0.05430127918712036,0.34432638888888883,0.13733333333333334,0.4504444444444444,7.0,16.0,17.0,0.052445349916106096,0.4897959183673469,0.5102040816326531,10,8,0
