"dataset","client_count","attacker_count","cohort_mode","variant","trust_estimator","attack_scenario","noniid_alpha","repeat","attack_start_round","limited_clean_updates","limited_observation_updates","limited_aggregation_weight","access_lease_full_updates","max_probation_tasks","min_probation_completed_tasks","min_evidence_mass","round","loss","accuracy","backdoor_asr"
"fashion_mnist","20","2","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","0","2","5","5","0.5","5","20","9","1.5","1","0.7580200433731079","0.7388","0.005333333333333333"
"fashion_mnist","20","2","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","0","2","5","5","0.5","5","20","9","1.5","2","0.6317768692970276","0.7906","0.07088888888888889"
"fashion_mnist","20","2","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","0","2","5","5","0.5","5","20","9","1.5","3","0.5697312355041504","0.8076","0.02266666666666667"
"fashion_mnist","20","2","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","0","2","5","5","0.5","5","20","9","1.5","4","0.5478740930557251","0.8108","0.03955555555555555"
"fashion_mnist","20","2","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","0","2","5","5","0.5","5","20","9","1.5","5","0.5220444202423096","0.8228","0.06644444444444444"
"fashion_mnist","20","2","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","0","2","5","5","0.5","5","20","9","1.5","6","0.5132749080657959","0.825","0.08444444444444445"
"fashion_mnist","20","2","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","0","2","5","5","0.5","5","20","9","1.5","7","0.5314751267433167","0.8188","0.08133333333333333"
"fashion_mnist","20","2","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","0","2","5","5","0.5","5","20","9","1.5","8","0.5692846775054932","0.811","0.10444444444444445"
"fashion_mnist","20","2","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","0","2","5","5","0.5","5","20","9","1.5","9","0.49966293573379517","0.8284","0.13933333333333334"
"fashion_mnist","20","2","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","0","2","5","5","0.5","5","20","9","1.5","10","0.5010703802108765","0.8302","0.1328888888888889"
"fashion_mnist","20","2","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","0","2","5","5","0.5","5","20","9","1.5","11","0.5274346470832825","0.8182","0.1282222222222222"
"fashion_mnist","20","2","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","0","2","5","5","0.5","5","20","9","1.5","12","0.49917954206466675","0.832","0.1582222222222222"
"fashion_mnist","20","2","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","0","2","5","5","0.5","5","20","9","1.5","13","0.5200074315071106","0.8148","0.11044444444444444"
"fashion_mnist","20","2","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","0","2","5","5","0.5","5","20","9","1.5","14","0.4787687063217163","0.8358","0.18555555555555556"
"fashion_mnist","20","2","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","0","2","5","5","0.5","5","20","9","1.5","15","0.47710728645324707","0.8292","0.19244444444444445"
"fashion_mnist","20","2","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","0","2","5","5","0.5","5","20","9","1.5","16","0.49674493074417114","0.8354","0.21288888888888888"
"fashion_mnist","20","2","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","0","2","5","5","0.5","5","20","9","1.5","17","0.4721050262451172","0.8356","0.24666666666666667"
"fashion_mnist","20","2","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","0","2","5","5","0.5","5","20","9","1.5","18","0.4844731390476227","0.837","0.3031111111111111"
"fashion_mnist","20","2","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","0","2","5","5","0.5","5","20","9","1.5","19","0.4727955162525177","0.834","0.2962222222222222"
"fashion_mnist","20","2","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","0","2","5","5","0.5","5","20","9","1.5","20","0.484178364276886","0.8374","0.3228888888888889"
"fashion_mnist","20","2","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","0","2","5","5","0.5","5","20","9","1.5","21","0.47407153248786926","0.8352","0.31577777777777777"
"fashion_mnist","20","2","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","0","2","5","5","0.5","5","20","9","1.5","22","0.5054155588150024","0.8232","0.25577777777777777"
"fashion_mnist","20","2","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","0","2","5","5","0.5","5","20","9","1.5","23","0.4880354404449463","0.8342","0.342"
"fashion_mnist","20","2","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","0","2","5","5","0.5","5","20","9","1.5","24","0.468609482049942","0.8396","0.3342222222222222"
"fashion_mnist","20","2","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","0","2","5","5","0.5","5","20","9","1.5","25","0.46025341749191284","0.8378","0.38866666666666666"
"fashion_mnist","20","2","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","0","2","5","5","0.5","5","20","9","1.5","26","0.5412701368331909","0.8098","0.35044444444444445"
"fashion_mnist","20","2","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","0","2","5","5","0.5","5","20","9","1.5","27","0.47576630115509033","0.8322","0.4117777777777778"
"fashion_mnist","20","2","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","0","2","5","5","0.5","5","20","9","1.5","28","0.4672921895980835","0.8388","0.4328888888888889"
