"dataset","client_count","attacker_count","cohort_mode","variant","trust_estimator","attack_scenario","noniid_alpha","repeat","attack_start_round","limited_clean_updates","limited_observation_updates","limited_aggregation_weight","max_probation_tasks","min_probation_completed_tasks","min_evidence_mass","configured_access_lease_full_updates","node_id","profile","cohort_role","initial_access_state","access_state","completed_tasks","credited_independent_tasks","verified_source_records","evidence_types","evidence_mass","minimum_evidence_mass_required","trust_score","history_mean","history_decision_score","history_lcb","history_std","history_evidence_maturity","training_clean_evidence","structurally_accepted_training_updates","structurally_accepted_observation_updates","limited_clean_updates_required","limited_observation_updates_required","freshness_lease_enabled","access_lease_full_updates","penalty_debt","hard_failures","onboarding_duration_seconds","flower_fit_events","aggregated_fit_events","aggregated_weight_mass","revoked_round","revocation_reason","norm_escalation_mode"
"fashion_mnist","20","2","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","1","2","5","5","0.5","20","9","1.5","5","attacker-1","diverse_then_repeat_backdoor","newcomer","LIMITED","LIMITED","9","9","0","4","4.882922989522995","1.5","0.7462875490779619","0.8370070466491786","0.6465358545084627","0.6465358545084627","0.1157982362815884","0.29254799703263074","50","50","50","5","5","True","5","0.0","0","2.342930555343628","50","50","37.5","","","moderate_shadow"
"fashion_mnist","20","2","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","1","2","5","5","0.5","20","9","1.5","5","attacker-2","diverse_then_repeat_backdoor","newcomer","LIMITED","LIMITED","9","9","0","4","4.882922989522995","1.5","0.7462875490779619","0.8370070466491786","0.6465358545084627","0.6465358545084627","0.1157982362815884","0.29254799703263074","50","50","50","5","5","True","5","0.0","0","3.1070659160614014","50","50","37.5","","","moderate_shadow"
"fashion_mnist","20","2","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","1","2","5","5","0.5","20","9","1.5","5","honest-1","honest","incumbent","ADMITTED","ADMITTED","9","9","0","4","4.882922989522995","1.5","0.7462875490779619","0.8370070466491786","0.6465358545084627","0.6465358545084627","0.1157982362815884","0.29254799703263074","50","50","50","5","5","True","5","0.0","0","3.042437791824341","50","50","50.0","","","moderate_shadow"
"fashion_mnist","20","2","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","1","2","5","5","0.5","20","9","1.5","5","honest-10","honest","incumbent","ADMITTED","ADMITTED","9","9","0","4","4.882922989522995","1.5","0.7462875490779619","0.8370070466491786","0.6465358545084627","0.6465358545084627","0.1157982362815884","0.29254799703263074","50","50","50","5","5","True","5","0.0","0","32.49994921684265","50","50","50.0","","","moderate_shadow"
"fashion_mnist","20","2","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","1","2","5","5","0.5","20","9","1.5","5","honest-11","honest","incumbent","ADMITTED","ADMITTED","9","9","0","4","4.882922989522995","1.5","0.7462875490779619","0.8370070466491786","0.6465358545084627","0.6465358545084627","0.1157982362815884","0.29254799703263074","50","50","50","5","5","True","5","0.0","0","2.442441701889038","50","50","50.0","","","moderate_shadow"
"fashion_mnist","20","2","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","1","2","5","5","0.5","20","9","1.5","5","honest-12","honest","incumbent","ADMITTED","ADMITTED","9","9","0","4","4.882922989522995","1.5","0.7462875490779619","0.8370070466491786","0.6465358545084627","0.6465358545084627","0.1157982362815884","0.29254799703263074","50","50","50","5","5","True","5","0.0","0","3.5450425148010254","50","50","50.0","","","moderate_shadow"
"fashion_mnist","20","2","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","1","2","5","5","0.5","20","9","1.5","5","honest-13","honest","incumbent","ADMITTED","ADMITTED","9","9","0","4","4.882922989522995","1.5","0.7462875490779619","0.8370070466491786","0.6465358545084627","0.6465358545084627","0.1157982362815884","0.29254799703263074","50","50","50","5","5","True","5","0.0","0","3.575244903564453","50","50","50.0","","","moderate_shadow"
"fashion_mnist","20","2","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","1","2","5","5","0.5","20","9","1.5","5","honest-14","honest","incumbent","ADMITTED","ADMITTED","9","9","0","4","4.882922989522995","1.5","0.7462875490779619","0.8370070466491786","0.6465358545084627","0.6465358545084627","0.1157982362815884","0.29254799703263074","50","50","50","5","5","True","5","0.0","0","3.6500182151794434","50","50","50.0","","","moderate_shadow"
"fashion_mnist","20","2","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","1","2","5","5","0.5","20","9","1.5","5","honest-15","honest","incumbent","ADMITTED","ADMITTED","9","9","0","4","4.882922989522995","1.5","0.7462875490779619","0.8370070466491786","0.6465358545084627","0.6465358545084627","0.1157982362815884","0.29254799703263074","50","50","50","5","5","True","5","0.0","0","2.0887057781219482","50","50","50.0","","","moderate_shadow"
"fashion_mnist","20","2","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","1","2","5","5","0.5","20","9","1.5","5","honest-16","honest","incumbent","ADMITTED","ADMITTED","9","9","0","4","4.882922989522995","1.5","0.7462875490779619","0.8370070466491786","0.6465358545084627","0.6465358545084627","0.1157982362815884","0.29254799703263074","50","50","50","5","5","True","5","0.0","0","3.5989279747009277","50","50","50.0","","","moderate_shadow"
"fashion_mnist","20","2","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","1","2","5","5","0.5","20","9","1.5","5","honest-17","honest","incumbent","ADMITTED","ADMITTED","9","9","0","4","4.882922989522995","1.5","0.7462875490779619","0.8370070466491786","0.6465358545084627","0.6465358545084627","0.1157982362815884","0.29254799703263074","50","50","50","5","5","True","5","0.0","0","2.782874345779419","50","50","50.0","","","moderate_shadow"
"fashion_mnist","20","2","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","1","2","5","5","0.5","20","9","1.5","5","honest-18","honest","incumbent","ADMITTED","ADMITTED","9","9","0","3","4.5294892388817605","1.5","0.7401065581334588","0.8277664507491892","0.6288758803813109","0.6288758803813109","0.12091685363435191","0.27568090107538146","50","50","50","5","5","True","5","0.0","0","32.468202352523804","50","50","50.0","","","moderate_shadow"
"fashion_mnist","20","2","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","1","2","5","5","0.5","20","9","1.5","5","honest-2","honest","incumbent","ADMITTED","ADMITTED","9","9","0","3","5.004489238881761","1.5","0.7503560216234088","0.8430201361031787","0.6581600617811678","0.6581600617811678","0.11238691964272261","0.3041175807403508","50","50","50","5","5","True","5","0.0","0","62.58552885055542","50","50","50.0","","","moderate_shadow"
"fashion_mnist","20","2","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","1","2","5","5","0.5","20","9","1.5","5","honest-3","honest","incumbent","ADMITTED","ADMITTED","9","9","0","4","4.882922989522995","1.5","0.7462875490779619","0.8370070466491786","0.6465358545084627","0.6465358545084627","0.1157982362815884","0.29254799703263074","50","50","50","5","5","True","5","0.0","0","33.165140867233276","50","50","50.0","","","moderate_shadow"
"fashion_mnist","20","2","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","1","2","5","5","0.5","20","9","1.5","5","honest-4","honest","incumbent","ADMITTED","ADMITTED","9","9","0","4","4.882922989522995","1.5","0.7462875490779619","0.8370070466491786","0.6465358545084627","0.6465358545084627","0.1157982362815884","0.29254799703263074","50","50","50","5","5","True","5","0.0","0","3.045020341873169","50","50","50.0","","","moderate_shadow"
"fashion_mnist","20","2","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","1","2","5","5","0.5","20","9","1.5","5","honest-5","honest","incumbent","ADMITTED","ADMITTED","9","9","0","4","4.882922989522995","1.5","0.7462875490779619","0.8370070466491786","0.6465358545084627","0.6465358545084627","0.1157982362815884","0.29254799703263074","50","50","50","5","5","True","5","0.0","0","33.0372154712677","50","50","50.0","","","moderate_shadow"
"fashion_mnist","20","2","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","1","2","5","5","0.5","20","9","1.5","5","honest-6","honest","incumbent","ADMITTED","ADMITTED","9","9","0","4","4.882922989522995","1.5","0.7462875490779619","0.8370070466491786","0.6465358545084627","0.6465358545084627","0.1157982362815884","0.29254799703263074","50","50","50","5","5","True","5","0.0","0","3.4616312980651855","50","50","50.0","","","moderate_shadow"
"fashion_mnist","20","2","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","1","2","5","5","0.5","20","9","1.5","5","honest-7","honest","incumbent","ADMITTED","ADMITTED","9","9","0","4","4.882922989522995","1.5","0.7462875490779619","0.8370070466491786","0.6465358545084627","0.6465358545084627","0.1157982362815884","0.29254799703263074","50","50","50","5","5","True","5","0.0","0","32.70026755332947","50","50","50.0","","","moderate_shadow"
"fashion_mnist","20","2","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","1","2","5","5","0.5","20","9","1.5","5","honest-8","honest","incumbent","ADMITTED","ADMITTED","9","9","0","4","4.882922989522995","1.5","0.7462875490779619","0.8370070466491786","0.6465358545084627","0.6465358545084627","0.1157982362815884","0.29254799703263074","50","50","50","5","5","True","5","0.0","0","3.099381685256958","50","50","50.0","","","moderate_shadow"
