dataset,client_count,attacker_count,cohort_mode,variant,trust_estimator,attack_scenario,noniid_alpha,round,independent_runs,accuracy_mean,accuracy_ci95,backdoor_asr_mean,backdoor_asr_ci95,target_effective_aggregation_share_mean,target_effective_aggregation_share_ci95,target_returned_updates_mean,target_returned_updates_ci95,target_aggregated_updates_mean,target_aggregated_updates_ci95,target_observed_node_rate_mean,target_observed_node_rate_ci95,target_limited_rate_mean,target_limited_rate_ci95,target_admitted_rate_mean,target_admitted_rate_ci95,target_rffl_removals_mean,target_rffl_removals_ci95,target_lease_expirations_mean,target_lease_expirations_ci95,target_lease_renewals_mean,target_lease_renewals_ci95
fashion_mnist,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.5,15,5,0.82724,0.00534752264860163,0.01817777777777778,0.007256888713266699,0.10381999954466663,0.038929499162602875,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
fashion_mnist,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.5,16,5,0.82972,0.0036858811995023203,0.019644444444444444,0.006760452207486265,0.10381999954466666,0.03892949916260288,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fashion_mnist,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.5,17,5,0.83192,0.005428216457228702,0.021511111111111113,0.007702222267974707,0.10381999954466663,0.03892949916260288,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fashion_mnist,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.5,18,5,0.83216,0.005174626332951345,0.02022222222222222,0.004751206693431451,0.10381999954466663,0.038929499162602875,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fashion_mnist,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.5,19,5,0.82744,0.008357791543272469,0.021777777777777778,0.011908024402619245,0.10381999954466663,0.03892949916260288,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fashion_mnist,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.5,20,5,0.8320000000000001,0.004982152617033037,0.02191111111111111,0.007044476964365758,0.0549836848768509,0.021731251187029656,2.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
fashion_mnist,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.5,21,5,0.829,0.009485532811162909,0.017955555555555554,0.007468866055853844,0.0549836848768509,0.021731251187029656,2.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fashion_mnist,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.5,22,5,0.83004,0.01293048642271615,0.017599999999999998,0.010721039664556349,0.054983684876850916,0.021731251187029666,2.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fashion_mnist,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.5,23,5,0.8279200000000001,0.014315906671425349,0.017022222222222223,0.006998393386482623,0.054983684876850916,0.021731251187029652,2.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fashion_mnist,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.5,24,5,0.83576,0.0019107107104799762,0.022044444444444443,0.008579015145651426,0.05498368487685089,0.021731251187029652,2.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fashion_mnist,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.5,25,5,0.8303200000000001,0.0058281544249513175,0.019155555555555554,0.006556928819857198,0.10381999954466666,0.03892949916260288,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
fashion_mnist,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.5,26,5,0.8216800000000001,0.0242169684734348,0.015422222222222223,0.008102532249900153,0.10381999954466666,0.03892949916260289,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fashion_mnist,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.5,27,5,0.83216,0.01179175554115058,0.019733333333333332,0.0077833445182415115,0.10381999954466666,0.038929499162602875,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fashion_mnist,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.5,28,5,0.8320799999999998,0.003069698781455455,0.017777777777777778,0.006750308987658804,0.10381999954466663,0.038929499162602875,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
