dataset,client_count,attacker_count,cohort_mode,trust_estimator,attack_scenario,noniid_alpha,method_variant,control_variant,independent_pairs,sustained_target_share_reduction_mean,sustained_target_share_reduction_ci95,sustained_target_share_reduction_positive_pairs,sustained_target_share_reduction_negative_pairs,sustained_target_share_reduction_zero_pairs,sustained_target_share_reduction_paired_t_pvalue,limited_returned_update_rate_increase_mean,limited_returned_update_rate_increase_ci95,limited_returned_update_rate_increase_positive_pairs,limited_returned_update_rate_increase_negative_pairs,limited_returned_update_rate_increase_zero_pairs,limited_returned_update_rate_increase_paired_t_pvalue,full_weight_aggregated_update_rate_reduction_mean,full_weight_aggregated_update_rate_reduction_ci95,full_weight_aggregated_update_rate_reduction_positive_pairs,full_weight_aggregated_update_rate_reduction_negative_pairs,full_weight_aggregated_update_rate_reduction_zero_pairs,full_weight_aggregated_update_rate_reduction_paired_t_pvalue,asr_auc_reduction_mean,asr_auc_reduction_ci95,asr_auc_reduction_positive_pairs,asr_auc_reduction_negative_pairs,asr_auc_reduction_zero_pairs,asr_auc_reduction_paired_t_pvalue,round_8_asr_reduction_mean,round_8_asr_reduction_ci95,round_8_asr_reduction_positive_pairs,round_8_asr_reduction_negative_pairs,round_8_asr_reduction_zero_pairs,round_8_asr_reduction_paired_t_pvalue,final_backdoor_asr_reduction_mean,final_backdoor_asr_reduction_ci95,final_backdoor_asr_reduction_positive_pairs,final_backdoor_asr_reduction_negative_pairs,final_backdoor_asr_reduction_zero_pairs,final_backdoor_asr_reduction_paired_t_pvalue,final_accuracy_difference_mean,final_accuracy_difference_ci95,final_accuracy_difference_positive_pairs,final_accuracy_difference_negative_pairs,final_accuracy_difference_zero_pairs,final_accuracy_difference_paired_t_pvalue,runtime_overhead_seconds_mean,runtime_overhead_seconds_ci95,runtime_overhead_seconds_positive_pairs,runtime_overhead_seconds_negative_pairs,runtime_overhead_seconds_zero_pairs,runtime_overhead_seconds_paired_t_pvalue,asr_ge_10pct_delay_mean,asr_ge_10pct_delay_ci95,asr_ge_10pct_delay_positive_pairs,asr_ge_10pct_delay_negative_pairs,asr_ge_10pct_delay_zero_pairs,asr_ge_10pct_delay_paired_t_pvalue,asr_ge_20pct_delay_mean,asr_ge_20pct_delay_ci95,asr_ge_20pct_delay_positive_pairs,asr_ge_20pct_delay_negative_pairs,asr_ge_20pct_delay_zero_pairs,asr_ge_20pct_delay_paired_t_pvalue,asr_ge_30pct_delay_mean,asr_ge_30pct_delay_ci95,asr_ge_30pct_delay_positive_pairs,asr_ge_30pct_delay_negative_pairs,asr_ge_30pct_delay_zero_pairs,asr_ge_30pct_delay_paired_t_pvalue
cifar10,20,2,mixed_maturity,dirichlet_lcb,benign_concept_drift,0.5,access_freshness_lease,access_full,10,0.02123804985847074,0.004863822397132381,10,0,0,3.963497853277592e-06,0.4285714285714285,4.1858316124321434e-17,10,0,0,0.0,0.4285714285714287,8.371663224864287e-17,10,0,0,0.0,-0.0002974537037036991,0.006731447879901463,5,5,0,0.9225660008472596,0.005833333333333329,0.09881071372262051,4,6,0,0.8966989593831062,-0.018222222222222223,0.013913880446072797,1,9,0,0.01589176316730537,0.004249999999999999,0.01529374584665598,5,4,1,0.5452102761301035,-2.949206450000003,3.04915998212351,3,7,0,0.0564337314591391,0.3,2.634870962611569,3,3,4,0.8025360105396487,-0.4,12.721826980566671,4,4,2,0.9448522975303513,4.0,41.04469108991643,2,1,0,0.7157323781925194
cifar10,20,2,mixed_maturity,dirichlet_lcb,benign_concept_drift,0.5,access_freshness_lease,rffl_reputation,10,0.04861266951742325,0.020604538236328025,10,0,0,0.0004702351127691942,0.4897959183673469,0.0,10,0,0,0.0,0.4897959183673469,0.0,10,0,0,0.0,0.0012893518518518623,0.012885335221257727,5,5,0,0.8259792672092207,0.024444444444444453,0.15119597121488212,6,4,0,0.7230137023625639,-0.019444444444444438,0.03630402399798441,3,7,0,0.25651119014175633,0.013199999999999984,0.01891845159473136,6,4,0,0.14893483970753205,-3.4372569999999967,4.74639904866353,3,7,0,0.13580131502971285,0.5,2.318021307205606,4,5,1,0.6372520812304475,5.375,11.973646794532009,6,2,0,0.3237133847889935,-5.0,38.12299704565471,2,2,0,0.7044633905618033
cifar10,20,2,mixed_maturity,dirichlet_lcb,diverse_then_repeat_backdoor,0.5,access_freshness_lease,access_full,10,0.021238049858470755,0.004863822397132382,10,0,0,3.963497853277587e-06,0.4285714285714285,4.1858316124321434e-17,10,0,0,0.0,0.4285714285714287,8.371663224864287e-17,10,0,0,0.0,0.05072800925925922,0.022296875936869173,9,1,0,0.0006058375600341264,0.06588888888888889,0.08810716852835793,7,3,0,0.12495750988330404,0.08383333333333333,0.12237173965491613,7,3,0,0.1556149788422982,-0.0032499999999999864,0.016874818074939797,5,5,0,0.6733317573667503,3.2660875900000006,3.0614079330848325,9,1,0,0.03903076963031901,0.0,1.2158729409092592,2,2,6,1.0,1.7,3.947808130966835,4,2,4,0.35544654428294103,-0.8,4.706640131388865,2,5,3,0.7095321230617567
cifar10,20,2,mixed_maturity,dirichlet_lcb,diverse_then_repeat_backdoor,0.5,access_freshness_lease,rffl_reputation,10,0.05678996581225308,0.02942346776140372,9,1,0,0.0018071460445507506,0.4897959183673469,0.0,10,0,0,0.0,0.4897959183673469,0.0,10,0,0,0.0,0.10187673611111112,0.05199682186784719,9,1,0,0.001641879156517268,-0.04133333333333333,0.11714181601813341,4,6,0,0.44530504945832744,0.13494444444444448,0.15456444166703798,7,3,0,0.07969777128461819,0.007450000000000007,0.019972746879526913,5,5,0,0.42064057035610936,1.3191869299999979,4.039355241980484,6,4,0,0.47886135376495487,-0.3,0.6786471488394614,2,4,4,0.3434363961379136,1.6,4.386485484962772,3,3,4,0.4306206220720391,2.0,6.477832294790722,3,4,3,0.5025541248512859
