dataset,client_count,attacker_count,cohort_mode,trust_estimator,attack_scenario,noniid_alpha,repeat,method_variant,control_variant,sustained_target_share_reduction,limited_returned_update_rate_increase,full_weight_aggregated_update_rate_reduction,asr_auc_reduction,round_8_asr_reduction,final_backdoor_asr_reduction,final_accuracy_difference,runtime_overhead_seconds,asr_ge_10pct_delay,asr_ge_20pct_delay,asr_ge_30pct_delay
cifar10,20,2,mixed_maturity,dirichlet_lcb,benign_concept_drift,0.5,0,access_freshness_lease,access_full,0.020276591166271785,0.42857142857142855,0.4285714285714286,-0.006562499999999992,-0.03222222222222222,-0.02111111111111111,-0.003500000000000003,-4.670524300000011,0.0,-38.0,nan
cifar10,20,2,mixed_maturity,dirichlet_lcb,benign_concept_drift,0.5,1,access_freshness_lease,access_full,0.005045354253493469,0.42857142857142855,0.4285714285714286,-0.013449074074074092,-0.1261111111111111,-0.04611111111111112,-0.009000000000000008,5.618393499999996,-5.0,3.0,3.0
cifar10,20,2,mixed_maturity,dirichlet_lcb,benign_concept_drift,0.5,2,access_freshness_lease,access_full,0.021292633176415457,0.42857142857142855,0.4285714285714286,-0.005607638888888891,-0.03611111111111111,-0.005555555555555564,0.0,0.32792190000000687,0.0,-3.0,21.0
cifar10,20,2,mixed_maturity,dirichlet_lcb,benign_concept_drift,0.5,3,access_freshness_lease,access_full,0.024718947033357086,0.42857142857142855,0.4285714285714286,0.00022569444444444503,0.04833333333333334,-0.016111111111111118,-0.026499999999999968,-0.4646098000000052,4.0,12.0,nan
cifar10,20,2,mixed_maturity,dirichlet_lcb,benign_concept_drift,0.5,4,access_freshness_lease,access_full,0.029031760670337983,0.42857142857142855,0.4285714285714286,0.006608796296296321,0.04722222222222222,-0.03555555555555556,-0.02849999999999997,-4.027298700000017,8.0,-6.0,nan
cifar10,20,2,mixed_maturity,dirichlet_lcb,benign_concept_drift,0.5,5,access_freshness_lease,access_full,0.025819952464552334,0.42857142857142855,0.4285714285714286,0.001278935185185237,-0.20833333333333334,-0.0005555555555555314,0.011999999999999955,0.3354556999999829,0.0,0.0,-12.0
cifar10,20,2,mixed_maturity,dirichlet_lcb,benign_concept_drift,0.5,6,access_freshness_lease,access_full,0.02364590868381354,0.42857142857142855,0.4285714285714286,-0.006197916666666664,-0.004444444444444445,0.008333333333333331,0.020000000000000018,-8.214894399999991,-1.0,0.0,nan
cifar10,20,2,mixed_maturity,dirichlet_lcb,benign_concept_drift,0.5,7,access_freshness_lease,access_full,0.02377140731112523,0.42857142857142855,0.4285714285714286,0.017071759259259245,0.13722222222222222,-0.013333333333333332,0.023499999999999965,-6.389509599999997,0.0,-7.0,nan
cifar10,20,2,mixed_maturity,dirichlet_lcb,benign_concept_drift,0.5,8,access_freshness_lease,access_full,0.023862199103052734,0.42857142857142855,0.4285714285714286,0.010787037037037053,-0.056666666666666664,-0.04833333333333333,0.034499999999999975,-5.8252162,1.0,34.0,nan
cifar10,20,2,mixed_maturity,dirichlet_lcb,benign_concept_drift,0.5,9,access_freshness_lease,access_full,0.0149157447222878,0.42857142857142855,0.4285714285714286,-0.007129629629629652,0.2894444444444444,-0.0038888888888888888,0.020000000000000018,-6.181782599999991,-4.0,1.0,nan
cifar10,20,2,mixed_maturity,dirichlet_lcb,diverse_then_repeat_backdoor,0.5,0,access_freshness_lease,access_full,0.02027659116627184,0.42857142857142855,0.4285714285714286,0.04804398148148145,-0.04000000000000001,-0.02055555555555555,-0.03799999999999998,5.86607570000001,0.0,0.0,0.0
cifar10,20,2,mixed_maturity,dirichlet_lcb,diverse_then_repeat_backdoor,0.5,1,access_freshness_lease,access_full,0.005045354253493469,0.42857142857142855,0.4285714285714286,-0.003061342592592553,0.005,-0.22999999999999998,0.0010000000000000009,5.4247311000000025,2.0,16.0,16.0
cifar10,20,2,mixed_maturity,dirichlet_lcb,diverse_then_repeat_backdoor,0.5,2,access_freshness_lease,access_full,0.021292633176415457,0.42857142857142855,0.4285714285714286,0.060590277777777674,-0.006666666666666666,0.0616666666666667,-0.0020000000000000018,1.1627349000000038,0.0,0.0,0.0
cifar10,20,2,mixed_maturity,dirichlet_lcb,diverse_then_repeat_backdoor,0.5,3,access_freshness_lease,access_full,0.024718947033357058,0.42857142857142855,0.4285714285714286,0.017019675925925876,0.02722222222222223,0.125,-0.013499999999999956,0.6512437000000091,0.0,1.0,-7.0
