"dataset","client_count","attacker_count","attacker_fraction","cohort_mode","variant","trust_estimator","attack_scenario","noniid_alpha","repeat","rounds","configuration_runtime_seconds","controller_state_bytes","access_lease_full_updates","max_local_train_samples","validation_samples_per_class","test_samples_per_class","rffl_reputation_fade","rffl_reputation_threshold_scale"
"cifar10","20","2","0.1","mixed_maturity","rffl_reputation","dirichlet_lcb","benign_concept_drift","0.5","4","50","202.5341041","8318671","5","512","100","200","0.95","0.333333333333333"
"cifar10","20","2","0.1","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","5","50","179.0770501","8371943","5","512","100","200","0.95","0.333333333333333"
"cifar10","20","2","0.1","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","6","50","135.035292","8404663","5","512","100","200","0.95","0.333333333333333"
"cifar10","20","2","0.1","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","7","50","164.7942569","8322791","5","512","100","200","0.95","0.333333333333333"
"cifar10","20","2","0.1","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","8","50","159.7984462","8314623","5","512","100","200","0.95","0.333333333333333"
"cifar10","20","2","0.1","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","9","50","190.6192989","8433407","5","512","100","200","0.95","0.333333333333333"
"cifar10","20","2","0.1","mixed_maturity","access_freshness_lease","dirichlet_lcb","benign_concept_drift","0.5","5","50","165.4011075","8326863","5","512","100","200","0.95","0.333333333333333"
"cifar10","20","2","0.1","mixed_maturity","access_freshness_lease","dirichlet_lcb","benign_concept_drift","0.5","6","50","134.0899458","8326839","5","512","100","200","0.95","0.333333333333333"
"cifar10","20","2","0.1","mixed_maturity","access_freshness_lease","dirichlet_lcb","benign_concept_drift","0.5","7","50","159.4415505","8314551","5","512","100","200","0.95","0.333333333333333"
"cifar10","20","2","0.1","mixed_maturity","access_freshness_lease","dirichlet_lcb","benign_concept_drift","0.5","8","50","160.3956545","8318671","5","512","100","200","0.95","0.333333333333333"
"cifar10","20","2","0.1","mixed_maturity","access_freshness_lease","dirichlet_lcb","benign_concept_drift","0.5","9","50","190.1114129","8322767","5","512","100","200","0.95","0.333333333333333"
"cifar10","20","2","0.1","mixed_maturity","access_full","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","5","50","165.8576866","8343247","5","512","100","200","0.95","0.333333333333333"
"cifar10","20","2","0.1","mixed_maturity","access_full","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","6","50","133.761536","8322791","5","512","100","200","0.95","0.333333333333333"
"cifar10","20","2","0.1","mixed_maturity","access_full","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","7","50","159.4497002","8322767","5","512","100","200","0.95","0.333333333333333"
"cifar10","20","2","0.1","mixed_maturity","access_full","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","8","50","159.3237578","8331007","5","512","100","200","0.95","0.333333333333333"
"cifar10","20","2","0.1","mixed_maturity","access_full","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","9","50","190.5282757","8302287","5","512","100","200","0.95","0.333333333333333"
"cifar10","20","2","0.1","mixed_maturity","access_full","dirichlet_lcb","benign_concept_drift","0.5","5","50","165.0656518","8335079","5","512","100","200","0.95","0.333333333333333"
"cifar10","20","2","0.1","mixed_maturity","access_full","dirichlet_lcb","benign_concept_drift","0.5","6","50","142.3048402","8330983","5","512","100","200","0.95","0.333333333333333"
"cifar10","20","2","0.1","mixed_maturity","access_full","dirichlet_lcb","benign_concept_drift","0.5","7","50","165.8310601","8330959","5","512","100","200","0.95","0.333333333333333"
"cifar10","20","2","0.1","mixed_maturity","access_full","dirichlet_lcb","benign_concept_drift","0.5","8","50","166.2208707","8318695","5","512","100","200","0.95","0.333333333333333"
"cifar10","20","2","0.1","mixed_maturity","access_full","dirichlet_lcb","benign_concept_drift","0.5","9","50","196.2931955","8322767","5","512","100","200","0.95","0.333333333333333"
"cifar10","20","2","0.1","mixed_maturity","rffl_reputation","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","5","50","165.3653793","8298191","5","512","100","200","0.95","0.333333333333333"
"cifar10","20","2","0.1","mixed_maturity","rffl_reputation","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","6","50","134.6999297","8199935","5","512","100","200","0.95","0.333333333333333"
"cifar10","20","2","0.1","mixed_maturity","rffl_reputation","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","7","50","160.2268097","8343271","5","512","100","200","0.95","0.333333333333333"
"cifar10","20","2","0.1","mixed_maturity","rffl_reputation","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","8","50","166.8511219","8216247","5","512","100","200","0.95","0.333333333333333"
"cifar10","20","2","0.1","mixed_maturity","rffl_reputation","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","9","50","191.1460643","8322767","5","512","100","200","0.95","0.333333333333333"
"cifar10","20","2","0.1","mixed_maturity","rffl_reputation","dirichlet_lcb","benign_concept_drift","0.5","5","50","160.0958443","8331007","5","512","100","200","0.95","0.333333333333333"
"cifar10","20","2","0.1","mixed_maturity","rffl_reputation","dirichlet_lcb","benign_concept_drift","0.5","6","50","139.5482385","8318671","5","512","100","200","0.95","0.333333333333333"
"cifar10","20","2","0.1","mixed_maturity","rffl_reputation","dirichlet_lcb","benign_concept_drift","0.5","7","50","165.2699487","8343271","5","512","100","200","0.95","0.333333333333333"
"cifar10","20","2","0.1","mixed_maturity","rffl_reputation","dirichlet_lcb","benign_concept_drift","0.5","8","50","161.1113767","8347343","5","512","100","200","0.95","0.333333333333333"
"cifar10","20","2","0.1","mixed_maturity","rffl_reputation","dirichlet_lcb","benign_concept_drift","0.5","9","50","191.1136643","8404663","5","512","100","200","0.95","0.333333333333333"
