dataset,client_count,attacker_count,cohort_mode,variant,trust_estimator,attack_scenario,noniid_alpha,independent_runs,total_rounds,target_full_access_round_mean_mean,target_full_access_round_mean_ci95,target_promoted_rate_mean,target_promoted_rate_ci95,target_effective_aggregation_share_early_mean,target_effective_aggregation_share_early_ci95,target_effective_aggregation_share_late_mean,target_effective_aggregation_share_late_ci95,backdoor_asr_auc_after_start_mean,backdoor_asr_auc_after_start_ci95,backdoor_asr_at_round_8_mean,backdoor_asr_at_round_8_ci95,backdoor_asr_growth_round_8_to_final_mean,backdoor_asr_growth_round_8_to_final_ci95,final_accuracy_mean,final_accuracy_ci95,final_backdoor_asr_mean,final_backdoor_asr_ci95,configuration_runtime_seconds_mean,configuration_runtime_seconds_ci95,server_processing_seconds_mean,server_processing_seconds_ci95,controller_state_bytes_mean,controller_state_bytes_ci95,asr_ge_10pct_rate,first_round_asr_ge_10pct_conditional_mean,first_round_asr_ge_10pct_conditional_ci95,asr_ge_20pct_rate,first_round_asr_ge_20pct_conditional_mean,first_round_asr_ge_20pct_conditional_ci95,asr_ge_30pct_rate,first_round_asr_ge_30pct_conditional_mean,first_round_asr_ge_30pct_conditional_ci95,configured_access_lease_full_updates,target_effective_aggregation_share_sustained_mean,target_effective_aggregation_share_sustained_ci95,target_limited_returned_update_rate_after_start_mean,target_limited_returned_update_rate_after_start_ci95,target_full_weight_aggregated_update_rate_after_start_mean,target_full_weight_aggregated_update_rate_after_start_ci95,target_lease_expirations_mean,target_lease_expirations_ci95,target_lease_renewals_mean,target_lease_renewals_ci95,normal_lease_expirations_mean,normal_lease_expirations_ci95,lease_full_updates
cifar10,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.5,10,50,5.0,0.0,1.0,0.0,0.04717186657794859,0.01145677887023617,0.07080744919011683,0.016987717310169508,0.07701157407407408,0.01672211851561388,0.11594444444444445,0.08509606282840397,-0.018888888888888886,0.09957531773924647,0.3493,0.010153421100212206,0.09705555555555556,0.054738669418754285,178.21983614,16.735343408050362,66.49875390100001,1.8324454004101898,8358392.6,38037.38664349904,1.0,5.3,2.2126009531621205,1.0,11.6,7.786846033278067,0.5,12.8,14.987661121143336,5,0.06844595014152921,0.01644148057594353,0.4897959183673469,0.0,0.5102040816326532,8.371663224864287e-17,10.0,0.0,8.0,0.0,0.0,0.0,5
cifar10,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,diverse_then_repeat_backdoor,0.5,10,50,5.0,0.0,1.0,0.0,0.047171866577948585,0.01145677887023617,0.07080744919011685,0.016987717310169508,0.21392476851851852,0.04034841833585519,0.152,0.09350437291621796,0.18683333333333332,0.12704340676302267,0.34800000000000003,0.013137618248176676,0.3388333333333333,0.10842346281810396,179.60347249,15.849021373608755,66.546097906,3.5922149688330065,8378501.4,36804.74206558029,1.0,3.2,0.8793686396570709,1.0,5.7,4.130803317438776,1.0,7.2,5.906690223727144,5,0.06844595014152918,0.01644148057594353,0.4897959183673469,0.0,0.5102040816326532,8.371663224864287e-17,10.0,0.0,8.0,0.0,0.0,0.0,5
cifar10,20,2,mixed_maturity,access_full,dirichlet_lcb,benign_concept_drift,0.5,10,50,5.0,0.0,1.0,0.0,0.04717186657794859,0.01145677887023617,0.08968399999999999,0.02130267985895326,0.07671412037037037,0.0154943758960236,0.12177777777777776,0.0776780150164636,-0.04294444444444444,0.10958610453187295,0.34504999999999997,0.012885749273322271,0.07883333333333334,0.0504894209420237,181.16904258999998,15.762082367621847,68.257878459,2.7014802419510393,8337934.2,28776.378778785947,1.0,5.0,1.9371956590424118,1.0,12.0,7.7046296691477,0.5,11.2,6.990910145081314,5,0.08968399999999994,0.021302679858953236,0.061224489795918366,0.0,0.9387755102040816,8.371663224864287e-17,0.0,0.0,0.0,0.0,0.0,0.0,0
cifar10,20,2,mixed_maturity,access_full,dirichlet_lcb,diverse_then_repeat_backdoor,0.5,10,50,5.0,0.0,1.0,0.0,0.04717186657794859,0.01145677887023617,0.08968399999999997,0.02130267985895326,0.26465277777777774,0.0588828587113248,0.21788888888888888,0.1208053450676492,0.20477777777777773,0.1665203185443029,0.35124999999999995,0.008606195826851614,0.42266666666666663,0.15820539924211313,176.33738490000002,15.762020432115461,66.14118324699999,2.908676137023331,8335879.0,18040.841251701244,1.0,3.2,1.0003635367755417,1.0,4.0,1.4307138119413294,1.0,8.0,2.8414871187583954,5,0.08968399999999996,0.021302679858953236,0.061224489795918366,0.0,0.9387755102040816,8.371663224864287e-17,0.0,0.0,0.0,0.0,0.0,0.0,0
cifar10,20,2,mixed_maturity,rffl_reputation,dirichlet_lcb,benign_concept_drift,0.5,10,50,1.0,0.0,1.0,0.0,0.10004299522862989,0.0022857875462834005,0.1155234140154362,0.013374162609357382,0.07830092592592593,0.021753160055549416,0.1403888888888889,0.1014506687229244,-0.06277777777777778,0.10564527078822751,0.3361,0.014961623134782916,0.07761111111111112,0.044699963249111435,181.65709313999997,17.576767578409054,71.245567405,1.975371606327044,8323593.4,36450.651198859436,1.0,4.8,1.2527259113447078,0.8,6.0,4.513185764372288,0.6,15.833333333333334,18.121133267200694,5,0.11705861965895245,0.014712610874159609,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
cifar10,20,2,mixed_maturity,rffl_reputation,dirichlet_lcb,diverse_then_repeat_backdoor,0.5,10,50,1.0,0.0,1.0,0.0,0.09018725430399678,0.0032959923186873423,0.12002811225318473,0.020037749795126614,0.31580150462962964,0.04728924562324457,0.11066666666666665,0.07837323106428144,0.3631111111111111,0.15220752162500661,0.34055,0.00993869938428152,0.47377777777777774,0.13850379178060993,178.28428556,15.876952204820507,67.604995895,2.3600138073529413,8292463.8,40745.44084839404,1.0,3.5,1.025622131197481,1.0,4.1,2.1447455737795234,1.0,5.2,2.18024178180376,5,0.1252359159537823,0.022767830938390597,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
