"dataset","client_count","attacker_count","attacker_fraction","cohort_mode","variant","trust_estimator","attack_scenario","noniid_alpha","repeat","rounds","configuration_runtime_seconds","controller_state_bytes","access_lease_full_updates","max_local_train_samples","validation_samples_per_class","test_samples_per_class","rffl_reputation_fade","rffl_reputation_threshold_scale"
"cifar10","20","2","0.1","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","0","50","260.7277405","8437455","5","512","100","200","0.95","0.333333333333333"
"cifar10","20","2","0.1","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","1","50","230.9838704","8322743","5","512","100","200","0.95","0.333333333333333"
"cifar10","20","2","0.1","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","2","50","243.2463547","8355583","5","512","100","200","0.95","0.333333333333333"
"cifar10","20","2","0.1","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","3","50","250.0585041","8347319","5","512","100","200","0.95","0.333333333333333"
"cifar10","20","2","0.1","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","4","50","262.765994","8310431","5","512","100","200","0.95","0.333333333333333"
"cifar10","20","2","0.1","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","5","50","231.4215725","8326839","5","512","100","200","0.95","0.333333333333333"
"cifar10","20","2","0.1","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","6","50","193.3480816","8306335","5","512","100","200","0.95","0.333333333333333"
"cifar10","20","2","0.1","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","7","50","205.6532597","8310479","5","512","100","200","0.95","0.333333333333333"
"cifar10","20","2","0.1","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","8","50","204.7255297","8326863","5","512","100","200","0.95","0.333333333333333"
"cifar10","20","2","0.1","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","9","50","223.7330549","8416951","5","512","100","200","0.95","0.333333333333333"
"cifar10","20","2","0.1","mixed_maturity","access_freshness_lease","dirichlet_lcb","benign_concept_drift","0.5","0","50","266.7774172","8355631","5","512","100","200","0.95","0.333333333333333"
"cifar10","20","2","0.1","mixed_maturity","access_freshness_lease","dirichlet_lcb","benign_concept_drift","0.5","1","50","229.9400043","8416975","5","512","100","200","0.95","0.333333333333333"
"cifar10","20","2","0.1","mixed_maturity","access_freshness_lease","dirichlet_lcb","benign_concept_drift","0.5","2","50","230.1117674","8330935","5","512","100","200","0.95","0.333333333333333"
"cifar10","20","2","0.1","mixed_maturity","access_freshness_lease","dirichlet_lcb","benign_concept_drift","0.5","3","50","231.585569","8351487","5","512","100","200","0.95","0.333333333333333"
"cifar10","20","2","0.1","mixed_maturity","access_freshness_lease","dirichlet_lcb","benign_concept_drift","0.5","4","50","235.7067685","8335055","5","512","100","200","0.95","0.333333333333333"
"cifar10","20","2","0.1","mixed_maturity","access_freshness_lease","dirichlet_lcb","benign_concept_drift","0.5","5","50","210.161987","8416999","5","512","100","200","0.95","0.333333333333333"
"cifar10","20","2","0.1","mixed_maturity","access_freshness_lease","dirichlet_lcb","benign_concept_drift","0.5","6","50","178.5114476","8326863","5","512","100","200","0.95","0.333333333333333"
"cifar10","20","2","0.1","mixed_maturity","access_freshness_lease","dirichlet_lcb","benign_concept_drift","0.5","7","50","200.181549","8302287","5","512","100","200","0.95","0.333333333333333"
"cifar10","20","2","0.1","mixed_maturity","access_freshness_lease","dirichlet_lcb","benign_concept_drift","0.5","8","50","204.3984456","8404687","5","512","100","200","0.95","0.333333333333333"
