"dataset","client_count","attacker_count","cohort_mode","variant","trust_estimator","attack_scenario","noniid_alpha","repeat","attack_start_round","limited_clean_updates","limited_observation_updates","limited_aggregation_weight","max_probation_tasks","min_probation_completed_tasks","min_evidence_mass","configured_access_lease_full_updates","node_id","profile","cohort_role","initial_access_state","access_state","completed_tasks","credited_independent_tasks","verified_source_records","evidence_types","evidence_mass","minimum_evidence_mass_required","trust_score","history_mean","history_decision_score","history_lcb","history_std","history_evidence_maturity","training_clean_evidence","structurally_accepted_training_updates","structurally_accepted_observation_updates","limited_clean_updates_required","limited_observation_updates_required","freshness_lease_enabled","freshness_lease_applies","access_lease_phase","access_lease_cycle_position","access_lease_full_updates","penalty_debt","hard_failures","onboarding_duration_seconds","flower_fit_events","aggregated_fit_events","aggregated_weight_mass","revoked_round","revocation_reason","norm_escalation_mode"
"cifar10","20","2","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","1","6","5","5","0.5","20","9","1.5","5","honest-2","honest","incumbent","ADMITTED","ADMITTED","9","9","0","3","5.004489238881761","1.5","0.7503560216234088","0.8430201361031787","0.6581600617811678","0.6581600617811678","0.11238691964272261","0.3041175807403508","50","50","50","5","5","True","False","NOT_APPLICABLE","","0","0.0","0","63.30213117599487","50","50","50.0","","","moderate_shadow"
"cifar10","20","2","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","1","6","5","5","0.5","20","9","1.5","5","honest-3","honest","incumbent","ADMITTED","ADMITTED","9","9","0","4","4.882922989522995","1.5","0.7462875490779619","0.8370070466491786","0.6465358545084627","0.6465358545084627","0.1157982362815884","0.29254799703263074","50","50","50","5","5","True","False","NOT_APPLICABLE","","0","0.0","0","33.18014907836914","50","50","50.0","","","moderate_shadow"
"cifar10","20","2","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","1","6","5","5","0.5","20","9","1.5","5","honest-4","honest","incumbent","ADMITTED","ADMITTED","9","9","0","4","4.882922989522995","1.5","0.7462875490779619","0.8370070466491786","0.6465358545084627","0.6465358545084627","0.1157982362815884","0.29254799703263074","50","50","50","5","5","True","False","NOT_APPLICABLE","","0","0.0","0","3.4695277214050293","50","50","50.0","","","moderate_shadow"
"cifar10","20","2","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","1","6","5","5","0.5","20","9","1.5","5","honest-5","honest","incumbent","ADMITTED","ADMITTED","9","9","0","4","4.882922989522995","1.5","0.7462875490779619","0.8370070466491786","0.6465358545084627","0.6465358545084627","0.1157982362815884","0.29254799703263074","50","50","50","5","5","True","False","NOT_APPLICABLE","","0","0.0","0","33.74351406097412","50","50","50.0","","","moderate_shadow"
"cifar10","20","2","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","1","6","5","5","0.5","20","9","1.5","5","honest-6","honest","incumbent","ADMITTED","ADMITTED","9","9","0","4","4.882922989522995","1.5","0.7462875490779619","0.8370070466491786","0.6465358545084627","0.6465358545084627","0.1157982362815884","0.29254799703263074","50","50","50","5","5","True","False","NOT_APPLICABLE","","0","0.0","0","2.2498714923858643","50","50","50.0","","","moderate_shadow"
"cifar10","20","2","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","1","6","5","5","0.5","20","9","1.5","5","honest-7","honest","incumbent","ADMITTED","ADMITTED","9","9","0","4","4.882922989522995","1.5","0.7462875490779619","0.8370070466491786","0.6465358545084627","0.6465358545084627","0.1157982362815884","0.29254799703263074","50","50","50","5","5","True","False","NOT_APPLICABLE","","0","0.0","0","33.82354664802551","50","50","50.0","","","moderate_shadow"
"cifar10","20","2","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","1","6","5","5","0.5","20","9","1.5","5","honest-8","honest","incumbent","ADMITTED","ADMITTED","9","9","0","4","4.882922989522995","1.5","0.7462875490779619","0.8370070466491786","0.6465358545084627","0.6465358545084627","0.1157982362815884","0.29254799703263074","50","50","50","5","5","True","False","NOT_APPLICABLE","","0","0.0","0","3.265077829360962","50","50","50.0","","","moderate_shadow"
"cifar10","20","2","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","1","6","5","5","0.5","20","9","1.5","5","honest-9","honest","incumbent","ADMITTED","ADMITTED","9","9","0","4","4.882922989522995","1.5","0.7462875490779619","0.8370070466491786","0.6465358545084627","0.6465358545084627","0.1157982362815884","0.29254799703263074","50","50","50","5","5","True","False","NOT_APPLICABLE","","0","0.0","0","3.9435176849365234","50","50","50.0","","","moderate_shadow"
"cifar10","20","2","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","2","6","5","5","0.5","20","9","1.5","5","attacker-1","diverse_then_repeat_backdoor","newcomer","LIMITED","LIMITED","9","9","0","4","4.882922989522995","1.5","0.7462875490779619","0.8370070466491786","0.6465358545084627","0.6465358545084627","0.1157982362815884","0.29254799703263074","50","50","50","5","5","True","True","REVALIDATION","5","5","0.0","0","3.550462245941162","50","50","37.5","","","moderate_shadow"
"cifar10","20","2","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","2","6","5","5","0.5","20","9","1.5","5","attacker-2","diverse_then_repeat_backdoor","newcomer","LIMITED","LIMITED","9","9","0","4","4.882922989522995","1.5","0.7462875490779619","0.8370070466491786","0.6465358545084627","0.6465358545084627","0.1157982362815884","0.29254799703263074","50","50","50","5","5","True","True","REVALIDATION","5","5","0.0","0","3.3067755699157715","50","50","37.5","","","moderate_shadow"
"cifar10","20","2","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","2","6","5","5","0.5","20","9","1.5","5","honest-1","honest","incumbent","ADMITTED","ADMITTED","9","9","0","4","4.882922989522995","1.5","0.7462875490779619","0.8370070466491786","0.6465358545084627","0.6465358545084627","0.1157982362815884","0.29254799703263074","50","50","50","5","5","True","False","NOT_APPLICABLE","","0","0.0","0","33.70158648490906","50","50","50.0","","","moderate_shadow"
"cifar10","20","2","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","2","6","5","5","0.5","20","9","1.5","5","honest-10","honest","incumbent","ADMITTED","ADMITTED","11","11","0","3","5.419531626612037","1.5","0.7509212720692868","0.8438513019312254","0.6597750630551052","0.6597750630551052","0.11191038163637629","0.3057557302355997","50","50","50","5","5","True","False","NOT_APPLICABLE","","0","0.0","0","63.64100456237793","50","50","50.0","","","moderate_shadow"
"cifar10","20","2","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","2","6","5","5","0.5","20","9","1.5","5","honest-11","honest","incumbent","ADMITTED","ADMITTED","9","9","0","4","4.882922989522995","1.5","0.7462875490779619","0.8370070466491786","0.6465358545084627","0.6465358545084627","0.1157982362815884","0.29254799703263074","50","50","50","5","5","True","False","NOT_APPLICABLE","","0","0.0","0","33.915045499801636","50","50","50.0","","","moderate_shadow"
"cifar10","20","2","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","2","6","5","5","0.5","20","9","1.5","5","honest-12","honest","incumbent","ADMITTED","ADMITTED","9","9","0","4","4.882922989522995","1.5","0.7462875490779619","0.8370070466491786","0.6465358545084627","0.6465358545084627","0.1157982362815884","0.29254799703263074","50","50","50","5","5","True","False","NOT_APPLICABLE","","0","0.0","0","32.68641638755798","50","50","50.0","","","moderate_shadow"
"cifar10","20","2","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","2","6","5","5","0.5","20","9","1.5","5","honest-13","honest","incumbent","ADMITTED","ADMITTED","9","9","0","4","4.882922989522995","1.5","0.7462875490779619","0.8370070466491786","0.6465358545084627","0.6465358545084627","0.1157982362815884","0.29254799703263074","50","50","50","5","5","True","False","NOT_APPLICABLE","","0","0.0","0","2.3671252727508545","50","50","50.0","","","moderate_shadow"
"cifar10","20","2","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","2","6","5","5","0.5","20","9","1.5","5","honest-14","honest","incumbent","ADMITTED","ADMITTED","9","9","0","4","4.882922989522995","1.5","0.7462875490779619","0.8370070466491786","0.6465358545084627","0.6465358545084627","0.1157982362815884","0.29254799703263074","50","50","50","5","5","True","False","NOT_APPLICABLE","","0","0.0","0","2.3269262313842773","50","50","50.0","","","moderate_shadow"
"cifar10","20","2","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","2","6","5","5","0.5","20","9","1.5","5","honest-15","honest","incumbent","ADMITTED","ADMITTED","9","9","0","4","4.882922989522995","1.5","0.7462875490779619","0.8370070466491786","0.6465358545084627","0.6465358545084627","0.1157982362815884","0.29254799703263074","50","50","50","5","5","True","False","NOT_APPLICABLE","","0","0.0","0","3.531101703643799","50","50","50.0","","","moderate_shadow"
"cifar10","20","2","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","2","6","5","5","0.5","20","9","1.5","5","honest-16","honest","incumbent","ADMITTED","ADMITTED","9","9","0","4","4.882922989522995","1.5","0.7462875490779619","0.8370070466491786","0.6465358545084627","0.6465358545084627","0.1157982362815884","0.29254799703263074","50","50","50","5","5","True","False","NOT_APPLICABLE","","0","0.0","0","32.323650598526","50","50","50.0","","","moderate_shadow"
"cifar10","20","2","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","2","6","5","5","0.5","20","9","1.5","5","honest-17","honest","incumbent","ADMITTED","ADMITTED","9","9","0","4","4.882922989522995","1.5","0.7462875490779619","0.8370070466491786","0.6465358545084627","0.6465358545084627","0.1157982362815884","0.29254799703263074","50","50","50","5","5","True","False","NOT_APPLICABLE","","0","0.0","0","2.7642977237701416","50","50","50.0","","","moderate_shadow"
"cifar10","20","2","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","2","6","5","5","0.5","20","9","1.5","5","honest-18","honest","incumbent","ADMITTED","ADMITTED","9","9","0","4","4.882922989522995","1.5","0.7462875490779619","0.8370070466491786","0.6465358545084627","0.6465358545084627","0.1157982362815884","0.29254799703263074","50","50","50","5","5","True","False","NOT_APPLICABLE","","0","0.0","0","2.475036382675171","50","50","50.0","","","moderate_shadow"
