dataset,client_count,attacker_count,cohort_mode,trust_estimator,attack_scenario,noniid_alpha,method_variant,control_variant,independent_pairs,sustained_target_share_reduction_mean,sustained_target_share_reduction_ci95,sustained_target_share_reduction_positive_pairs,sustained_target_share_reduction_negative_pairs,sustained_target_share_reduction_zero_pairs,sustained_target_share_reduction_paired_t_pvalue,limited_returned_update_rate_increase_mean,limited_returned_update_rate_increase_ci95,limited_returned_update_rate_increase_positive_pairs,limited_returned_update_rate_increase_negative_pairs,limited_returned_update_rate_increase_zero_pairs,limited_returned_update_rate_increase_paired_t_pvalue,full_weight_aggregated_update_rate_reduction_mean,full_weight_aggregated_update_rate_reduction_ci95,full_weight_aggregated_update_rate_reduction_positive_pairs,full_weight_aggregated_update_rate_reduction_negative_pairs,full_weight_aggregated_update_rate_reduction_zero_pairs,full_weight_aggregated_update_rate_reduction_paired_t_pvalue,asr_auc_reduction_mean,asr_auc_reduction_ci95,asr_auc_reduction_positive_pairs,asr_auc_reduction_negative_pairs,asr_auc_reduction_zero_pairs,asr_auc_reduction_paired_t_pvalue,round_8_asr_reduction_mean,round_8_asr_reduction_ci95,round_8_asr_reduction_positive_pairs,round_8_asr_reduction_negative_pairs,round_8_asr_reduction_zero_pairs,round_8_asr_reduction_paired_t_pvalue,final_backdoor_asr_reduction_mean,final_backdoor_asr_reduction_ci95,final_backdoor_asr_reduction_positive_pairs,final_backdoor_asr_reduction_negative_pairs,final_backdoor_asr_reduction_zero_pairs,final_backdoor_asr_reduction_paired_t_pvalue,final_accuracy_difference_mean,final_accuracy_difference_ci95,final_accuracy_difference_positive_pairs,final_accuracy_difference_negative_pairs,final_accuracy_difference_zero_pairs,final_accuracy_difference_paired_t_pvalue,runtime_overhead_seconds_mean,runtime_overhead_seconds_ci95,runtime_overhead_seconds_positive_pairs,runtime_overhead_seconds_negative_pairs,runtime_overhead_seconds_zero_pairs,runtime_overhead_seconds_paired_t_pvalue,asr_ge_10pct_delay_mean,asr_ge_10pct_delay_ci95,asr_ge_10pct_delay_positive_pairs,asr_ge_10pct_delay_negative_pairs,asr_ge_10pct_delay_zero_pairs,asr_ge_10pct_delay_paired_t_pvalue,asr_ge_20pct_delay_mean,asr_ge_20pct_delay_ci95,asr_ge_20pct_delay_positive_pairs,asr_ge_20pct_delay_negative_pairs,asr_ge_20pct_delay_zero_pairs,asr_ge_20pct_delay_paired_t_pvalue,asr_ge_30pct_delay_mean,asr_ge_30pct_delay_ci95,asr_ge_30pct_delay_positive_pairs,asr_ge_30pct_delay_negative_pairs,asr_ge_30pct_delay_zero_pairs,asr_ge_30pct_delay_paired_t_pvalue
cifar10,20,2,mixed_maturity,dirichlet_lcb,benign_concept_drift,0.5,access_freshness_lease,access_full,10,0.021238049858470748,0.004863822397132384,10,0,0,3.963497853277607e-06,0.4666666666666667,0.0,10,0,0,0.0,0.4666666666666667,0.0,10,0,0,0.0,-0.0007462121212121226,0.008374002609581552,4,6,0,0.8447259490256565,-0.035222222222222224,0.048186933294699336,3,7,0,0.13261344825022767,0.0015,0.03289509361495495,5,4,1,0.9201032877684662,-0.0012000000000000066,0.017358934527193184,6,4,0,0.8791852008694246,0.3837563100000011,2.146033958074244,5,5,0,0.6952741462537625,-1.2,5.156307045910493,4,4,2,0.6112951240042283,-8.777777777777779,10.253710317404657,2,7,0,0.08381364579400186,-31.0,nan,0,1,0,nan
cifar10,20,2,mixed_maturity,dirichlet_lcb,benign_concept_drift,0.5,access_freshness_lease,rffl_reputation,10,0.04232192418690118,0.01834580879476938,10,0,0,0.0005502479367902532,0.4666666666666667,0.0,10,0,0,0.0,0.4666666666666667,0.0,10,0,0,0.0,0.003834595959595957,0.013370460688803246,5,5,0,0.5326852366775173,-0.009111111111111113,0.03711064907921201,5,5,0,0.5921648825455156,-0.003944444444444446,0.030545097446632228,6,4,0,0.7768139398064822,0.004149999999999998,0.015802795541056337,5,4,1,0.5670964226178314,38.428516329999994,14.572071781372768,9,1,0,0.00021123805341789756,0.2,3.2833765031614983,5,3,2,0.8934363885738607,-2.0,15.008723374681452,3,3,3,0.7664708776963084,-4.5,19.05930710426204,0,2,0,0.20483276469913345
cifar10,20,2,mixed_maturity,dirichlet_lcb,diverse_then_repeat_backdoor,0.5,access_freshness_lease,access_full,10,0.021238049858470758,0.004863822397132387,10,0,0,3.96349785327761e-06,0.4666666666666667,0.0,10,0,0,0.0,0.4666666666666667,0.0,10,0,0,0.0,0.0382733585858586,0.020049437432636426,9,1,0,0.0019378682229145093,-0.06605555555555556,0.16116907660284394,5,5,0,0.37804118925165187,0.041444444444444443,0.04827498696985301,8,2,0,0.08402848816540144,-0.014000000000000007,0.012658201764637028,1,9,0,0.03375360406670711,14.333733189999998,10.644528720925443,8,2,0,0.013878398428017849,0.2,0.9418111302491592,2,3,5,0.6424151377207891,4.5,8.808222760165224,4,4,2,0.27755998007308863,2.7777777777777777,4.511265832307568,5,3,1,0.193408863766307
cifar10,20,2,mixed_maturity,dirichlet_lcb,diverse_then_repeat_backdoor,0.5,access_freshness_lease,rffl_reputation,10,0.06367158572716383,0.021032281155421162,10,0,0,7.487701363709198e-05,0.4666666666666667,0.0,10,0,0,0.0,0.4666666666666667,0.0,10,0,0,0.0,0.10679861111111108,0.051084672167009376,9,1,0,0.001074938472253241,-0.016777777777777787,0.121121037146009,7,3,0,0.7611508048372311,0.23583333333333334,0.10343784271294766,10,0,0,0.0005970036087186346,-0.0031499999999999974,0.02125173951855475,4,6,0,0.7450790921483446,9.253897060000003,9.627780136521489,8,2,0,0.05770703993701156,-1.0,1.011667438360969,1,7,2,0.05217724279881912,4.6,9.24260316617739,4,6,0,0.28934803031661965,1.4444444444444444,5.200752425964741,4,5,0,0.5397780055759215
