dataset,client_count,attacker_count,cohort_mode,variant,trust_estimator,attack_scenario,noniid_alpha,repeat,round,configured_access_lease_full_updates,accuracy,backdoor_asr,target_effective_aggregation_share,target_returned_updates,target_aggregated_updates,target_observed_node_rate,target_limited_rate,target_admitted_rate,target_rffl_removals,target_lease_expirations,target_lease_renewals,lease_full_updates
cifar10,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.5,0,27,5,0.3405,0.04888888888888889,0.08462,2,2,1.0,0.0,1.0,0,0,0,5
cifar10,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.5,0,28,5,0.3005,0.0077777777777777776,0.08462,2,2,1.0,0.0,1.0,0,0,0,5
cifar10,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.5,0,29,5,0.3185,0.03944444444444444,0.08462,2,2,1.0,0.0,1.0,0,0,0,5
cifar10,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.5,0,30,5,0.3395,0.18833333333333332,0.044179222921822296,2,2,1.0,1.0,0.0,0,2,0,5
cifar10,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.5,0,31,5,0.338,0.04555555555555556,0.044179222921822296,2,2,1.0,1.0,0.0,0,0,0,5
cifar10,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.5,0,32,5,0.3075,0.11722222222222223,0.0441792229218223,2,2,1.0,1.0,0.0,0,0,0,5
cifar10,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.5,0,33,5,0.3765,0.0961111111111111,0.0441792229218223,2,2,1.0,1.0,0.0,0,0,0,5
cifar10,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.5,0,34,5,0.3575,0.10888888888888888,0.0441792229218223,2,2,1.0,1.0,0.0,0,0,0,5
cifar10,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.5,0,35,5,0.3215,0.016666666666666666,0.08461999999999999,2,2,1.0,0.0,1.0,0,0,2,5
cifar10,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.5,0,36,5,0.3085,0.15,0.08462,2,2,1.0,0.0,1.0,0,0,0,5
cifar10,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.5,0,37,5,0.367,0.03611111111111111,0.08462,2,2,1.0,0.0,1.0,0,0,0,5
cifar10,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.5,0,38,5,0.3475,0.05722222222222222,0.08462,2,2,1.0,0.0,1.0,0,0,0,5
cifar10,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.5,0,39,5,0.3355,0.105,0.08462,2,2,1.0,0.0,1.0,0,0,0,5
cifar10,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.5,0,40,5,0.319,0.085,0.044179222921822296,2,2,1.0,1.0,0.0,0,2,0,5
cifar10,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.5,0,41,5,0.3485,0.06388888888888888,0.0441792229218223,2,2,1.0,1.0,0.0,0,0,0,5
cifar10,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.5,0,42,5,0.3305,0.12666666666666668,0.0441792229218223,2,2,1.0,1.0,0.0,0,0,0,5
cifar10,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.5,0,43,5,0.3435,0.06444444444444444,0.0441792229218223,2,2,1.0,1.0,0.0,0,0,0,5
cifar10,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.5,0,44,5,0.3445,0.09055555555555556,0.0441792229218223,2,2,1.0,1.0,0.0,0,0,0,5
cifar10,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.5,0,45,5,0.346,0.041666666666666664,0.08461999999999999,2,2,1.0,0.0,1.0,0,0,2,5
cifar10,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.5,0,46,5,0.3335,0.049444444444444444,0.08462,2,2,1.0,0.0,1.0,0,0,0,5
cifar10,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.5,0,47,5,0.3225,0.06722222222222222,0.08462,2,2,1.0,0.0,1.0,0,0,0,5
cifar10,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.5,0,48,5,0.353,0.015555555555555555,0.08462,2,2,1.0,0.0,1.0,0,0,0,5
cifar10,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.5,0,49,5,0.3435,0.021111111111111112,0.08462,2,2,1.0,0.0,1.0,0,0,0,5
cifar10,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.5,0,50,5,0.3425,0.03277777777777778,0.04417922292182231,2,2,1.0,1.0,0.0,0,2,0,5
cifar10,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.5,1,1,5,0.21,0.14666666666666667,0.0101010101010101,2,2,1.0,1.0,0.0,0,0,0,5
cifar10,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.5,1,2,5,0.188,0.03222222222222222,0.0101010101010101,2,2,1.0,1.0,0.0,0,0,0,5
cifar10,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.5,1,3,5,0.1675,0.5944444444444444,0.0101010101010101,2,2,1.0,1.0,0.0,0,0,0,5
cifar10,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.5,1,4,5,0.275,0.0005555555555555556,0.010101010101010102,2,2,1.0,1.0,0.0,0,0,0,5
cifar10,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.5,1,5,5,0.2815,0.0011111111111111111,0.02,2,2,1.0,0.0,1.0,0,0,0,5
cifar10,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.5,1,6,5,0.268,0.02666666666666667,0.02,2,2,1.0,0.0,1.0,0,0,0,5
cifar10,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.5,1,7,5,0.2595,0.025,0.02,2,2,1.0,0.0,1.0,0,0,0,5
cifar10,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.5,1,8,5,0.265,0.041666666666666664,0.02,2,2,1.0,0.0,1.0,0,0,0,5
cifar10,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.5,1,9,5,0.3235,0.19,0.02,2,2,1.0,0.0,1.0,0,0,0,5
cifar10,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.5,1,10,5,0.283,0.016666666666666666,0.0101010101010101,2,2,1.0,1.0,0.0,0,2,0,5
cifar10,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.5,1,11,5,0.2845,0.05388888888888889,0.010101010101010102,2,2,1.0,1.0,0.0,0,0,0,5
cifar10,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.5,1,12,5,0.3035,0.052222222222222225,0.010101010101010102,2,2,1.0,1.0,0.0,0,0,0,5
cifar10,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.5,1,13,5,0.3165,0.04111111111111111,0.0101010101010101,2,2,1.0,1.0,0.0,0,0,0,5
cifar10,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.5,1,14,5,0.317,0.20055555555555554,0.0101010101010101,2,2,1.0,1.0,0.0,0,0,0,5
cifar10,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.5,1,15,5,0.3305,0.0077777777777777776,0.019999999999999997,2,2,1.0,0.0,1.0,0,0,2,5
cifar10,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.5,1,16,5,0.3315,0.009444444444444445,0.02,2,2,1.0,0.0,1.0,0,0,0,5
cifar10,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.5,1,17,5,0.2995,0.03611111111111111,0.02,2,2,1.0,0.0,1.0,0,0,0,5
cifar10,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.5,1,18,5,0.303,0.021666666666666667,0.02,2,2,1.0,0.0,1.0,0,0,0,5
cifar10,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.5,1,19,5,0.3025,0.11166666666666666,0.02,2,2,1.0,0.0,1.0,0,0,0,5
cifar10,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.5,1,20,5,0.3065,0.03833333333333333,0.0101010101010101,2,2,1.0,1.0,0.0,0,2,0,5
cifar10,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.5,1,21,5,0.275,0.04611111111111111,0.010101010101010102,2,2,1.0,1.0,0.0,0,0,0,5
