"dataset","client_count","attacker_count","cohort_mode","variant","trust_estimator","attack_scenario","noniid_alpha","repeat","attack_start_round","limited_clean_updates","limited_observation_updates","limited_aggregation_weight","access_lease_full_updates","max_probation_tasks","min_probation_completed_tasks","min_evidence_mass","round","loss","accuracy","backdoor_asr"
"cifar10","20","2","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","0","6","5","5","0.5","5","20","9","1.5","1","8.018336296081543","0.1545","0.0"
"cifar10","20","2","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","0","6","5","5","0.5","5","20","9","1.5","2","6.500879764556885","0.19","0.3877777777777778"
"cifar10","20","2","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","0","6","5","5","0.5","5","20","9","1.5","3","7.787207126617432","0.2315","0.0005555555555555556"
"cifar10","20","2","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","0","6","5","5","0.5","5","20","9","1.5","4","7.507747173309326","0.238","0.022222222222222223"
"cifar10","20","2","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","0","6","5","5","0.5","5","20","9","1.5","5","7.578024387359619","0.274","0.14333333333333334"
"cifar10","20","2","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","0","6","5","5","0.5","5","20","9","1.5","6","7.121175289154053","0.2545","0.012777777777777779"
"cifar10","20","2","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","0","6","5","5","0.5","5","20","9","1.5","7","7.520775318145752","0.2815","0.06388888888888888"
"cifar10","20","2","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","0","6","5","5","0.5","5","20","9","1.5","8","9.128213882446289","0.2605","0.295"
"cifar10","20","2","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","0","6","5","5","0.5","5","20","9","1.5","9","6.5164794921875","0.2785","0.035"
"cifar10","20","2","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","0","6","5","5","0.5","5","20","9","1.5","10","7.093324184417725","0.261","0.0961111111111111"
"cifar10","20","2","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","0","6","5","5","0.5","5","20","9","1.5","11","5.745439529418945","0.3095","0.13722222222222222"
"cifar10","20","2","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","0","6","5","5","0.5","5","20","9","1.5","12","6.252108097076416","0.2725","0.016666666666666666"
"cifar10","20","2","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","0","6","5","5","0.5","5","20","9","1.5","13","6.791489601135254","0.321","0.13722222222222222"
"cifar10","20","2","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","0","6","5","5","0.5","5","20","9","1.5","14","8.057549476623535","0.27","0.13"
"cifar10","20","2","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","0","6","5","5","0.5","5","20","9","1.5","15","5.8796515464782715","0.325","0.06388888888888888"
"cifar10","20","2","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","0","6","5","5","0.5","5","20","9","1.5","16","5.978582859039307","0.3275","0.041666666666666664"
"cifar10","20","2","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","0","6","5","5","0.5","5","20","9","1.5","17","6.266820907592773","0.307","0.0661111111111111"
"cifar10","20","2","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","0","6","5","5","0.5","5","20","9","1.5","18","6.770937442779541","0.3005","0.335"
"cifar10","20","2","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","0","6","5","5","0.5","5","20","9","1.5","19","5.536257266998291","0.334","0.19777777777777777"
"cifar10","20","2","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","0","6","5","5","0.5","5","20","9","1.5","20","5.693583011627197","0.3355","0.07666666666666666"
"cifar10","20","2","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","0","6","5","5","0.5","5","20","9","1.5","21","6.092343330383301","0.3255","0.15944444444444444"
"cifar10","20","2","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","0","6","5","5","0.5","5","20","9","1.5","22","6.47148323059082","0.313","0.16277777777777777"
"cifar10","20","2","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","0","6","5","5","0.5","5","20","9","1.5","23","5.746121883392334","0.3535","0.08555555555555555"
"cifar10","20","2","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","0","6","5","5","0.5","5","20","9","1.5","24","6.282654285430908","0.3265","0.2861111111111111"
"cifar10","20","2","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","0","6","5","5","0.5","5","20","9","1.5","25","6.617636203765869","0.336","0.12277777777777778"
"cifar10","20","2","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","0","6","5","5","0.5","5","20","9","1.5","26","6.415561676025391","0.3","0.38222222222222224"
"cifar10","20","2","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","0","6","5","5","0.5","5","20","9","1.5","27","5.824619770050049","0.3435","0.0961111111111111"
"cifar10","20","2","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","0","6","5","5","0.5","5","20","9","1.5","28","6.1465067863464355","0.3445","0.045"
"cifar10","20","2","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","0","6","5","5","0.5","5","20","9","1.5","29","6.3422441482543945","0.312","0.18166666666666667"
"cifar10","20","2","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","0","6","5","5","0.5","5","20","9","1.5","30","6.16436243057251","0.34","0.2966666666666667"
"cifar10","20","2","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","0","6","5","5","0.5","5","20","9","1.5","31","6.029798984527588","0.335","0.31666666666666665"
"cifar10","20","2","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","0","6","5","5","0.5","5","20","9","1.5","32","6.629313945770264","0.329","0.1527777777777778"
"cifar10","20","2","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","0","6","5","5","0.5","5","20","9","1.5","33","6.237462043762207","0.3445","0.20722222222222222"
"cifar10","20","2","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","0","6","5","5","0.5","5","20","9","1.5","34","6.11247444152832","0.332","0.3327777777777778"
"cifar10","20","2","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","0","6","5","5","0.5","5","20","9","1.5","35","6.45827054977417","0.334","0.22277777777777777"
"cifar10","20","2","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","0","6","5","5","0.5","5","20","9","1.5","36","7.506669521331787","0.3075","0.15833333333333333"
"cifar10","20","2","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","0","6","5","5","0.5","5","20","9","1.5","37","5.8043084144592285","0.3635","0.27555555555555555"
"cifar10","20","2","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","0","6","5","5","0.5","5","20","9","1.5","38","6.9012770652771","0.3195","0.49333333333333335"
