"dataset","client_count","attacker_count","cohort_mode","variant","trust_estimator","attack_scenario","noniid_alpha","repeat","attack_start_round","limited_clean_updates","limited_observation_updates","limited_aggregation_weight","access_lease_full_updates","max_probation_tasks","min_probation_completed_tasks","min_evidence_mass","round","loss","accuracy","backdoor_asr"
"cifar10","20","2","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.1","0","6","5","5","0.5","5","20","9","1.5","1","13.151032447814941","0.1005","0.9994444444444445"
"cifar10","20","2","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.1","0","6","5","5","0.5","5","20","9","1.5","2","11.2153902053833","0.137","0.0"
"cifar10","20","2","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.1","0","6","5","5","0.5","5","20","9","1.5","3","16.92597198486328","0.1345","0.0"
"cifar10","20","2","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.1","0","6","5","5","0.5","5","20","9","1.5","4","12.866427421569824","0.1925","0.0"
"cifar10","20","2","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.1","0","6","5","5","0.5","5","20","9","1.5","5","11.934945106506348","0.185","0.0"
"cifar10","20","2","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.1","0","6","5","5","0.5","5","20","9","1.5","6","13.945140838623047","0.139","0.015"
"cifar10","20","2","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.1","0","6","5","5","0.5","5","20","9","1.5","7","10.969042778015137","0.206","0.006666666666666667"
"cifar10","20","2","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.1","0","6","5","5","0.5","5","20","9","1.5","8","6.826553821563721","0.254","0.043333333333333335"
"cifar10","20","2","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.1","0","6","5","5","0.5","5","20","9","1.5","9","9.727977752685547","0.235","0.49722222222222223"
"cifar10","20","2","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.1","0","6","5","5","0.5","5","20","9","1.5","10","10.007142066955566","0.254","0.0005555555555555556"
"cifar10","20","2","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.1","0","6","5","5","0.5","5","20","9","1.5","11","9.61950969696045","0.214","0.025"
"cifar10","20","2","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.1","0","6","5","5","0.5","5","20","9","1.5","12","9.531601905822754","0.2355","0.11944444444444445"
"cifar10","20","2","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.1","0","6","5","5","0.5","5","20","9","1.5","13","8.294498443603516","0.241","0.3488888888888889"
