"dataset","client_count","attacker_count","attacker_fraction","cohort_mode","variant","trust_estimator","attack_scenario","noniid_alpha","repeat","rounds","configuration_runtime_seconds","controller_state_bytes","access_lease_full_updates","max_local_train_samples","validation_samples_per_class","test_samples_per_class","rffl_reputation_fade","rffl_reputation_threshold_scale"
"cifar10","20","2","0.1","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.1","0","50","228.7380932","8408783","5","512","100","200","0.95","0.333333333333333"
"cifar10","20","2","0.1","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.1","1","50","185.0223158","8343247","5","512","100","200","0.95","0.333333333333333"
"cifar10","20","2","0.1","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.1","2","50","179.5184925","8421047","5","512","100","200","0.95","0.333333333333333"
"cifar10","20","2","0.1","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.1","3","50","184.5316816","8437407","5","512","100","200","0.95","0.333333333333333"
"cifar10","20","2","0.1","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.1","4","50","184.8007112","8433359","5","512","100","200","0.95","0.333333333333333"
"cifar10","20","2","0.1","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.1","5","50","147.7156342","8330959","5","512","100","200","0.95","0.333333333333333"
"cifar10","20","2","0.1","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.1","6","50","127.80586","8404663","5","512","100","200","0.95","0.333333333333333"
"cifar10","20","2","0.1","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.1","7","50","147.841994","8314575","5","512","100","200","0.95","0.333333333333333"
"cifar10","20","2","0.1","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.1","8","50","147.3769166","8400567","5","512","100","200","0.95","0.333333333333333"
"cifar10","20","2","0.1","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.1","9","50","179.9172641","8347295","5","512","100","200","0.95","0.333333333333333"
"cifar10","20","2","0.1","mixed_maturity","access_freshness_lease","dirichlet_lcb","benign_concept_drift","0.1","0","50","209.9623411","8425167","5","512","100","200","0.95","0.333333333333333"
"cifar10","20","2","0.1","mixed_maturity","access_freshness_lease","dirichlet_lcb","benign_concept_drift","0.1","1","50","184.1507837","8314575","5","512","100","200","0.95","0.333333333333333"
"cifar10","20","2","0.1","mixed_maturity","access_freshness_lease","dirichlet_lcb","benign_concept_drift","0.1","2","50","183.7714701","8322791","5","512","100","200","0.95","0.333333333333333"
"cifar10","20","2","0.1","mixed_maturity","access_freshness_lease","dirichlet_lcb","benign_concept_drift","0.1","3","50","178.8540572","8421071","5","512","100","200","0.95","0.333333333333333"
"cifar10","20","2","0.1","mixed_maturity","access_freshness_lease","dirichlet_lcb","benign_concept_drift","0.1","4","50","178.9088103","8425215","5","512","100","200","0.95","0.333333333333333"
"cifar10","20","2","0.1","mixed_maturity","access_freshness_lease","dirichlet_lcb","benign_concept_drift","0.1","5","50","158.1386288","8433359","5","512","100","200","0.95","0.333333333333333"
"cifar10","20","2","0.1","mixed_maturity","access_freshness_lease","dirichlet_lcb","benign_concept_drift","0.1","6","50","133.1068818","8437503","5","512","100","200","0.95","0.333333333333333"
"cifar10","20","2","0.1","mixed_maturity","access_freshness_lease","dirichlet_lcb","benign_concept_drift","0.1","7","50","158.6809682","8314575","5","512","100","200","0.95","0.333333333333333"
