dataset,client_count,attacker_count,cohort_mode,variant,trust_estimator,attack_scenario,noniid_alpha,independent_runs,total_rounds,target_full_access_round_mean_mean,target_full_access_round_mean_ci95,target_promoted_rate_mean,target_promoted_rate_ci95,target_effective_aggregation_share_early_mean,target_effective_aggregation_share_early_ci95,target_effective_aggregation_share_late_mean,target_effective_aggregation_share_late_ci95,backdoor_asr_auc_after_start_mean,backdoor_asr_auc_after_start_ci95,backdoor_asr_at_round_8_mean,backdoor_asr_at_round_8_ci95,backdoor_asr_growth_round_8_to_final_mean,backdoor_asr_growth_round_8_to_final_ci95,final_accuracy_mean,final_accuracy_ci95,final_backdoor_asr_mean,final_backdoor_asr_ci95,configuration_runtime_seconds_mean,configuration_runtime_seconds_ci95,server_processing_seconds_mean,server_processing_seconds_ci95,controller_state_bytes_mean,controller_state_bytes_ci95,asr_ge_10pct_rate,first_round_asr_ge_10pct_conditional_mean,first_round_asr_ge_10pct_conditional_ci95,asr_ge_20pct_rate,first_round_asr_ge_20pct_conditional_mean,first_round_asr_ge_20pct_conditional_ci95,asr_ge_30pct_rate,first_round_asr_ge_30pct_conditional_mean,first_round_asr_ge_30pct_conditional_ci95,configured_access_lease_full_updates,target_effective_aggregation_share_sustained_mean,target_effective_aggregation_share_sustained_ci95,target_limited_returned_update_rate_after_start_mean,target_limited_returned_update_rate_after_start_ci95,target_full_weight_aggregated_update_rate_after_start_mean,target_full_weight_aggregated_update_rate_after_start_ci95,target_lease_expirations_mean,target_lease_expirations_ci95,target_lease_renewals_mean,target_lease_renewals_ci95,normal_lease_expirations_mean,normal_lease_expirations_ci95,lease_full_updates
cifar10,10,1,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.5,10,50,5.0,0.0,1.0,0.0,0.11212,0.050838535423830565,0.0868288772741285,0.04058926055091017,0.07623232323232323,0.015571240482859133,0.06500000000000002,0.06803027000688844,0.007166666666666664,0.10197748679440487,0.32795,0.014150742870255032,0.07216666666666666,0.07641400653413162,113.37221886,17.78839614172953,28.612027242000003,0.9292451770372321,6255896.6,5028.214954904304,1.0,9.3,2.740645907967312,1.0,23.4,11.000898167446566,0.8,24.25,10.20738163637056,5,0.0868288772741285,0.04058926055091017,0.4666666666666667,0.0,0.5333333333333333,0.0,5.0,0.0,4.0,0.0,0.0,0.0,5
cifar10,10,1,mixed_maturity,access_freshness_lease,dirichlet_lcb,diverse_then_repeat_backdoor,0.5,10,50,5.0,0.0,1.0,0.0,0.11212,0.050838535423830565,0.0868288772741285,0.04058926055091017,0.24352525252525248,0.09113808654563406,0.07777777777777777,0.05509018494706881,0.23850000000000002,0.17774015111016217,0.3281,0.011663218619925649,0.31627777777777777,0.16246599539835613,111.19426395999999,17.179554257691358,27.39747195,0.546536270444234,6259190.2,6887.607569689723,1.0,7.8,1.6451480831351155,1.0,8.7,2.0801461426278602,1.0,10.5,4.255555293182407,5,0.0868288772741285,0.04058926055091017,0.4666666666666667,0.0,0.5333333333333333,0.0,5.0,0.0,4.0,0.0,0.0,0.0,5
cifar10,10,1,mixed_maturity,access_full,dirichlet_lcb,benign_concept_drift,0.5,10,50,5.0,0.0,1.0,0.0,0.11212,0.05083853542383057,0.11212000000000004,0.05083853542383061,0.07681502525252525,0.015163701938861698,0.05822222222222222,0.03452087615492106,0.04022222222222223,0.06769984363990673,0.33265,0.011285685721933083,0.09844444444444445,0.05634682157142951,114.21887360000001,17.647931989093426,28.258308608,1.0974161338719157,6248131.0,6514.145271237169,1.0,8.5,2.058162475163336,0.9,17.0,10.014833156653664,0.3,21.0,32.86205303864214,5,0.11212000000000004,0.05083853542383061,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
cifar10,10,1,mixed_maturity,access_full,dirichlet_lcb,diverse_then_repeat_backdoor,0.5,10,50,5.0,0.0,1.0,0.0,0.11212,0.050838535423830565,0.11212000000000003,0.0508385354238306,0.3035820707070707,0.11625052195230604,0.2242777777777778,0.17333357040082498,0.1455555555555556,0.2136273117088025,0.3311,0.01017663470362022,0.36983333333333335,0.17617999997528216,110.78364088999999,17.322312965087796,27.35365393,0.9798742493547296,6250188.6,6036.589107473433,1.0,6.7,0.3455502144136438,1.0,7.1,0.6263629556723539,1.0,12.9,5.379200657635425,5,0.11212000000000003,0.0508385354238306,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
cifar10,10,1,mixed_maturity,rffl_reputation,dirichlet_lcb,benign_concept_drift,0.5,10,50,1.0,0.0,1.0,0.0,0.09534720841628541,0.010532301572069039,0.10725284472013738,0.012251905680561392,0.08010353535353539,0.01254212733103431,0.08844444444444444,0.06281948735880755,-0.005833333333333339,0.07961894366359065,0.32055,0.01500208971016005,0.08261111111111111,0.061201911624397365,115.87681634999998,18.957540550683298,29.939346932,1.0351213173709277,6249757.4,6698.834940671887,1.0,8.8,1.9313164477327347,0.9,13.222222222222221,7.479991033493799,0.6,12.666666666666666,4.862259298278349,5,0.10725284472013738,0.012251905680561392,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
cifar10,10,1,mixed_maturity,rffl_reputation,dirichlet_lcb,diverse_then_repeat_backdoor,0.5,10,50,1.0,0.0,1.0,0.0,0.09728026407585688,0.006478387633849619,0.10709047881686644,0.00773665725786027,0.29044002525252527,0.034226406647896675,0.16983333333333334,0.12369904958220325,0.32999999999999996,0.13537845540637644,0.32605000000000006,0.009785918042469135,0.4998333333333333,0.13347414263077417,113.27199756,17.150784096826012,28.985498932000002,0.8423593753135905,6248955.0,6351.500382635409,1.0,6.5,0.37702619379970087,1.0,7.2,1.2973207813040306,1.0,9.9,2.511118990804684,5,0.10709047881686644,0.00773665725786027,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
cifar10,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.1,10,50,5.0,0.0,1.0,0.0,0.080922,0.03349150886586694,0.06187272263306535,0.026015063247435542,0.0852493686868687,0.025129025107469994,0.07944444444444446,0.06412976375593668,-0.020222222222222218,0.06929242987166852,0.31665,0.016770716736094798,0.05922222222222222,0.06284334014237596,173.510016,14.865623013725152,61.716037349,2.24836331620168,8392006.2,37413.09910066421,1.0,7.3,0.9567852189616104,1.0,9.8,1.9605362077584443,0.7,14.428571428571429,8.574291815872343,5,0.06187272263306535,0.026015063247435542,0.4666666666666667,0.0,0.5333333333333333,0.0,10.0,0.0,8.0,0.0,0.0,0.0,5
cifar10,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,10,10,50,5.0,0.0,1.0,0.0,0.10347399999999998,0.00381673908365519,0.07907516437293337,0.0029992317055006342,0.07692424242424242,0.007447595516235392,0.04811111111111112,0.039793328652802405,0.04777777777777777,0.07769071083585735,0.32694999999999996,0.014079240445370504,0.09588888888888888,0.06391436639668109,171.76283632,18.161577207627907,59.678933275000006,0.4052615580878373,8359616.6,28471.549479435198,1.0,6.8,0.7388174355783599,1.0,8.5,2.681925948090501,0.7,10.285714285714286,6.243320441651981,5,0.07907516437293337,0.0029992317055006342,0.4666666666666667,0.0,0.5333333333333333,0.0,10.0,0.0,8.0,0.0,0.0,0.0,5
cifar10,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,diverse_then_repeat_backdoor,0.1,10,50,5.0,0.0,1.0,0.0,0.080922,0.033491508865866944,0.061872722633065355,0.026015063247435532,0.21369065656565653,0.09632258575809387,0.24861111111111112,0.22126082897807828,0.022333333333333316,0.23659432031814928,0.31734999999999997,0.018285614923905423,0.27094444444444443,0.17419525442141,171.32689632,20.729078727415143,60.965365698999996,2.805527896299168,8384190.2,32535.941919260615,1.0,7.2,1.0003635367755417,1.0,7.2,1.0003635367755417,1.0,7.9,1.9209845317065637,5,0.061872722633065355,0.026015063247435532,0.4666666666666667,0.0,0.5333333333333333,0.0,10.0,0.0,8.0,0.0,0.0,0.0,5
cifar10,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,diverse_then_repeat_backdoor,10,10,50,5.0,0.0,1.0,0.0,0.103474,0.0038167390836551848,0.07907516437293338,0.0029992317055006364,0.2788806818181818,0.016989996091986297,0.11344444444444443,0.062384133305811836,0.3447222222222222,0.12315351845464927,0.33285000000000003,0.014664380372675976,0.4581666666666667,0.12233639853440245,169.71425836999998,17.919171422560538,59.658125982,2.214081031650382,8355944.6,35746.886670933716,1.0,6.6,0.6911004288272875,1.0,7.5,1.1310785813991024,1.0,11.8,2.4035235037258698,5,0.07907516437293338,0.0029992317055006364,0.4666666666666667,0.0,0.5333333333333333,0.0,10.0,0.0,8.0,0.0,0.0,0.0,5
