dataset,client_count,attacker_count,cohort_mode,variant,trust_estimator,attack_scenario,noniid_alpha,repeat,stage,attacker_fraction,normal_nodes,target_initial_limited_rate,target_initial_admitted_rate,normal_initial_admitted_rate,target_onboarding_seconds_mean,normal_onboarding_seconds_mean,target_returned_updates_after_start,target_aggregated_updates_after_start,target_effective_aggregation_share_after_start,target_rffl_removals,normal_rffl_removals,update_payload_bytes,server_processing_seconds,configuration_runtime_seconds,controller_state_bytes,configured_access_lease_full_updates,final_accuracy,final_backdoor_asr,total_rounds,target_full_access_round_mean,target_promoted_rate,target_effective_aggregation_share_early,target_effective_aggregation_share_late,backdoor_asr_auc_after_start,backdoor_asr_at_round_8,backdoor_asr_growth_round_8_to_final,first_round_asr_ge_10pct,first_round_asr_ge_20pct,first_round_asr_ge_30pct,target_effective_aggregation_share_sustained,target_limited_returned_update_rate_after_start,target_full_weight_aggregated_update_rate_after_start,target_lease_expirations,target_lease_renewals,normal_lease_expirations,lease_full_updates
cifar10,10,1,mixed_maturity,access_freshness_lease,dirichlet_lcb,diverse_then_repeat_backdoor,0.5,1,formal,0.1,9,1.0,0.0,1.0,2.4497568607330322,19.362620274225872,45,45,0.037012966437469166,0,0,61460000,26.34955637,130.7828647,6258407,5,0.337,0.09111111111111111,50,5.0,1.0,0.04774,0.03595347310890989,0.093125,0.17833333333333334,-0.08722222222222223,8.0,13.0,23.0,0.03595347310890989,0.4666666666666667,0.5333333333333333,5,4,0,5
cifar10,10,1,mixed_maturity,access_freshness_lease,dirichlet_lcb,diverse_then_repeat_backdoor,0.5,2,formal,0.1,9,1.0,0.0,1.0,3.0314671993255615,12.760645177629259,45,45,0.05566741920393764,0,0,61460000,28.28945077,100.9943346,6246095,5,0.329,0.2677777777777778,50,5.0,1.0,0.0714,0.05410394456687282,0.223939393939394,0.021666666666666667,0.2461111111111111,7.0,7.0,7.0,0.05410394456687282,0.4666666666666667,0.5333333333333333,5,4,0,5
cifar10,10,1,mixed_maturity,access_freshness_lease,dirichlet_lcb,diverse_then_repeat_backdoor,0.5,3,formal,0.1,9,1.0,0.0,1.0,2.5181753635406494,12.787456803851658,45,45,0.1839720204496274,0,0,61460000,28.04167843999999,105.8936125,6250191,5,0.337,0.7327777777777778,50,5.0,1.0,0.22724,0.17948991531046563,0.45986742424242427,0.0005555555555555556,0.7322222222222222,7.0,7.0,7.0,0.17948991531046563,0.4666666666666667,0.5333333333333333,5,4,0,5
cifar10,10,1,mixed_maturity,access_freshness_lease,dirichlet_lcb,diverse_then_repeat_backdoor,0.5,4,formal,0.1,9,1.0,0.0,1.0,2.567744493484497,12.79762183295356,45,45,0.03148687340233501,0,0,61460000,26.241859420000008,100.5010684,6262455,5,0.339,0.09888888888888889,50,5.0,1.0,0.040679999999999994,0.0305805407851456,0.12696338383838385,0.0011111111111111111,0.09777777777777778,7.0,7.0,7.0,0.0305805407851456,0.4666666666666667,0.5333333333333333,5,4,0,5
cifar10,10,1,mixed_maturity,access_freshness_lease,dirichlet_lcb,diverse_then_repeat_backdoor,0.5,5,formal,0.1,9,1.0,0.0,1.0,2.471891164779663,9.417119105656942,45,45,0.0575396287030656,0,0,61460000,27.602445,100.5154414,6254239,5,0.297,0.07777777777777778,50,5.0,1.0,0.07376000000000002,0.05592668534800798,0.17356060606060608,0.08055555555555556,-0.002777777777777782,6.0,6.0,6.0,0.05592668534800798,0.4666666666666667,0.5333333333333333,5,4,0,5
cifar10,10,1,mixed_maturity,access_freshness_lease,dirichlet_lcb,diverse_then_repeat_backdoor,0.5,6,formal,0.1,9,1.0,0.0,1.0,2.4531145095825195,2.8112623426649304,45,45,0.09066246860703613,0,0,61460000,27.8337114,74.5984416,6254263,5,0.3475,0.45611111111111113,50,5.0,1.0,0.11508,0.08820793100865862,0.24479166666666663,0.025555555555555557,0.4305555555555556,6.0,6.0,6.0,0.08820793100865862,0.4666666666666667,0.5333333333333333,5,4,0,5
cifar10,10,1,mixed_maturity,access_freshness_lease,dirichlet_lcb,diverse_then_repeat_backdoor,0.5,7,formal,0.1,9,1.0,0.0,1.0,2.6642138957977295,9.761455827289158,45,45,0.04521852319183685,0,0,61460000,27.41476231999999,100.1529629,6274767,5,0.333,0.26222222222222225,50,5.0,1.0,0.05818000000000001,0.04393486263995412,0.1654861111111111,0.1761111111111111,0.08611111111111114,7.0,11.0,13.0,0.04393486263995412,0.4666666666666667,0.5333333333333333,5,4,0,5
cifar10,10,1,mixed_maturity,access_freshness_lease,dirichlet_lcb,diverse_then_repeat_backdoor,0.5,8,formal,0.1,9,1.0,0.0,1.0,2.9042842388153076,6.2620068126254615,45,45,0.15660967608330206,0,0,61460000,28.278110090000013,105.2910336,6254239,5,0.315,0.5522222222222222,50,5.0,1.0,0.19498,0.15266948050597764,0.4163257575757575,0.19666666666666666,0.3555555555555555,6.0,6.0,6.0,0.15266948050597764,0.4666666666666667,0.5333333333333333,5,4,0,5
cifar10,10,1,mixed_maturity,access_freshness_lease,dirichlet_lcb,diverse_then_repeat_backdoor,0.5,9,formal,0.1,9,1.0,0.0,1.0,2.8935816287994385,19.37560725212097,45,45,0.06559176196518252,0,0,61460000,26.62917238,131.7344779,6262431,5,0.3395,0.14555555555555555,50,5.0,1.0,0.08387999999999998,0.06376837459115646,0.16345328282828284,0.044444444444444446,0.1011111111111111,12.0,12.0,18.0,0.06376837459115646,0.4666666666666667,0.5333333333333333,5,4,0,5
cifar10,10,1,mixed_maturity,access_full,dirichlet_lcb,benign_concept_drift,0.5,0,formal,0.1,9,1.0,0.0,1.0,3.077383041381836,16.5465796523624,45,45,0.2082599999999998,0,0,61460000,30.14848827,167.4200103,6266551,5,0.338,0.0811111111111111,50,5.0,1.0,0.20825999999999995,0.2082599999999998,0.07199494949494949,0.04611111111111111,0.034999999999999996,9.0,10.0,nan,0.2082599999999998,0.0,1.0,0,0,0,0
cifar10,10,1,mixed_maturity,access_full,dirichlet_lcb,benign_concept_drift,0.5,1,formal,0.1,9,1.0,0.0,1.0,2.638944625854492,19.449560191896225,45,45,0.04774000000000005,0,0,61460000,28.923541609999997,131.6463093,6241999,5,0.31,0.05444444444444444,50,5.0,1.0,0.047739999999999984,0.047740000000000046,0.055599747474747475,0.1738888888888889,-0.11944444444444446,8.0,44.0,nan,0.047740000000000046,0.0,1.0,0,0,0,0
cifar10,10,1,mixed_maturity,access_full,dirichlet_lcb,benign_concept_drift,0.5,2,formal,0.1,9,1.0,0.0,1.0,2.81838321685791,12.682921833462185,45,45,0.07140000000000005,0,0,61460000,26.881276200000006,105.0731721,6250191,5,0.304,0.29388888888888887,50,5.0,1.0,0.0714,0.07140000000000005,0.09814393939393938,0.07277777777777777,0.2211111111111111,10.0,10.0,26.0,0.07140000000000005,0.0,1.0,0,0,0,0
cifar10,10,1,mixed_maturity,access_full,dirichlet_lcb,benign_concept_drift,0.5,3,formal,0.1,9,1.0,0.0,1.0,3.081469774246216,12.760269244511923,45,45,0.22724000000000036,0,0,61460000,30.382029749999994,110.5841108,6237879,5,0.337,0.15333333333333332,50,5.0,1.0,0.22724,0.22724000000000047,0.08410353535353533,0.006666666666666667,0.14666666666666667,6.0,11.0,31.0,0.22724000000000047,0.0,1.0,0,0,0,0
cifar10,10,1,mixed_maturity,access_full,dirichlet_lcb,benign_concept_drift,0.5,4,formal,0.1,9,1.0,0.0,1.0,3.0376460552215576,12.73270673222012,45,45,0.040680000000000056,0,0,61460000,28.274237640000003,105.3043171,6250239,5,0.3505,0.085,50,5.0,1.0,0.04067999999999998,0.040680000000000084,0.0792739898989899,0.06388888888888888,0.021111111111111122,7.0,34.0,nan,0.040680000000000084,0.0,1.0,0,0,0,0
cifar10,10,1,mixed_maturity,access_full,dirichlet_lcb,benign_concept_drift,0.5,5,formal,0.1,9,1.0,0.0,1.0,2.575665235519409,9.334589693281385,45,45,0.07376000000000003,0,0,61460000,27.75232929,105.4552231,6237879,5,0.3245,0.02,50,5.0,1.0,0.07376000000000002,0.07376000000000003,0.05368686868686868,0.042222222222222223,-0.022222222222222223,15.0,17.0,nan,0.07376000000000003,0.0,1.0,0,0,0,0
cifar10,10,1,mixed_maturity,access_full,dirichlet_lcb,benign_concept_drift,0.5,6,formal,0.1,9,1.0,0.0,1.0,2.5397136211395264,2.838802205191718,45,45,0.11508,0,0,61460000,27.41958502999999,74.4157604,6250191,5,0.3485,0.02666666666666667,50,5.0,1.0,0.11507999999999997,0.11508000000000006,0.10460858585858585,0.03833333333333333,-0.011666666666666662,6.0,6.0,6.0,0.11508000000000006,0.0,1.0,0,0,0,0
cifar10,10,1,mixed_maturity,access_full,dirichlet_lcb,benign_concept_drift,0.5,7,formal,0.1,9,1.0,0.0,1.0,2.545337677001953,9.604212548997667,45,45,0.058179999999999926,0,0,61460000,25.633949800000007,99.6055998,6246071,5,0.3325,0.07611111111111112,50,5.0,1.0,0.05818,0.0581799999999999,0.10679924242424242,0.08166666666666667,-0.00555555555555555,6.0,11.0,nan,0.0581799999999999,0.0,1.0,0,0,0,0
cifar10,10,1,mixed_maturity,access_full,dirichlet_lcb,benign_concept_drift,0.5,8,formal,0.1,9,1.0,0.0,1.0,2.439162254333496,6.151052157084147,45,45,0.19498000000000026,0,0,61460000,29.745727340000002,111.5694891,6241975,5,0.334,0.1111111111111111,50,5.0,1.0,0.19498,0.19498000000000004,0.051382575757575766,0.05611111111111111,0.05499999999999999,11.0,nan,nan,0.19498000000000004,0.0,1.0,0,0,0,0
cifar10,10,1,mixed_maturity,access_full,dirichlet_lcb,benign_concept_drift,0.5,9,formal,0.1,9,1.0,0.0,1.0,2.504347324371338,19.293048593733047,45,45,0.08388000000000001,0,0,61460000,27.421921150000006,131.114744,6258335,5,0.3475,0.08277777777777778,50,5.0,1.0,0.08387999999999998,0.08387999999999997,0.0625568181818182,0.0005555555555555556,0.08222222222222222,7.0,10.0,nan,0.08387999999999997,0.0,1.0,0,0,0,0
