dataset,client_count,attacker_count,cohort_mode,variant,trust_estimator,attack_scenario,noniid_alpha,independent_runs,total_rounds,target_full_access_round_mean_mean,target_full_access_round_mean_ci95,target_promoted_rate_mean,target_promoted_rate_ci95,target_effective_aggregation_share_early_mean,target_effective_aggregation_share_early_ci95,target_effective_aggregation_share_late_mean,target_effective_aggregation_share_late_ci95,backdoor_asr_auc_after_start_mean,backdoor_asr_auc_after_start_ci95,backdoor_asr_at_round_8_mean,backdoor_asr_at_round_8_ci95,backdoor_asr_growth_round_8_to_final_mean,backdoor_asr_growth_round_8_to_final_ci95,final_accuracy_mean,final_accuracy_ci95,final_backdoor_asr_mean,final_backdoor_asr_ci95,configuration_runtime_seconds_mean,configuration_runtime_seconds_ci95,server_processing_seconds_mean,server_processing_seconds_ci95,controller_state_bytes_mean,controller_state_bytes_ci95,asr_ge_10pct_rate,first_round_asr_ge_10pct_conditional_mean,first_round_asr_ge_10pct_conditional_ci95,asr_ge_20pct_rate,first_round_asr_ge_20pct_conditional_mean,first_round_asr_ge_20pct_conditional_ci95,asr_ge_30pct_rate,first_round_asr_ge_30pct_conditional_mean,first_round_asr_ge_30pct_conditional_ci95,configured_access_lease_full_updates,target_effective_aggregation_share_sustained_mean,target_effective_aggregation_share_sustained_ci95,target_limited_returned_update_rate_after_start_mean,target_limited_returned_update_rate_after_start_ci95,target_full_weight_aggregated_update_rate_after_start_mean,target_full_weight_aggregated_update_rate_after_start_ci95,target_lease_expirations_mean,target_lease_expirations_ci95,target_lease_renewals_mean,target_lease_renewals_ci95,normal_lease_expirations_mean,normal_lease_expirations_ci95,lease_full_updates
cifar10,20,2,mixed_maturity,access_weight_matched,dirichlet_lcb,benign_concept_drift,0.5,10,50,5.0,0.0,1.0,0.0,0.0703781202246522,0.016888513284540954,0.07037812022465213,0.016888513284540968,0.07327777777777778,0.014409784855215314,0.11883333333333332,0.05548171472906229,-0.06016666666666668,0.07738744324977101,0.34045,0.013849183657598558,0.05866666666666666,0.037114432000723674,174.40167592,17.97163947148632,61.723348052999995,1.2089631203697597,8342849.4,18806.049479861198,1.0,7.1,0.7872538050313573,0.8,9.75,4.162151319988081,0.1,15.0,nan,5,0.07037812022465213,0.016888513284540968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
cifar10,20,2,mixed_maturity,access_weight_matched,dirichlet_lcb,diverse_then_repeat_backdoor,0.5,10,50,5.0,0.0,1.0,0.0,0.0703781202246522,0.016888513284540954,0.07037812022465215,0.016888513284540968,0.20908648989898987,0.045096115162542756,0.15505555555555556,0.061815732680683126,0.18083333333333335,0.13075923068099252,0.35065,0.0076677340083609186,0.3358888888888889,0.1256480535774347,175.80389094000003,17.868968991124483,63.490978649,1.9791484805697173,8346133.4,30077.984366999506,1.0,7.1,1.141088321485055,1.0,9.0,3.145401891086707,1.0,12.7,3.9621847558609296,5,0.07037812022465215,0.016888513284540968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
