"dataset","client_count","attacker_count","cohort_mode","variant","trust_estimator","attack_scenario","noniid_alpha","repeat","attack_start_round","limited_clean_updates","limited_observation_updates","limited_aggregation_weight","access_lease_full_updates","max_probation_tasks","min_probation_completed_tasks","min_evidence_mass","round","loss","accuracy","backdoor_asr"
"cifar10","20","2","mixed_maturity","access_weight_matched","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","0","6","5","5","0.5","5","20","9","1.5","1","8.018336296081543","0.1545","0.0"
"cifar10","20","2","mixed_maturity","access_weight_matched","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","0","6","5","5","0.5","5","20","9","1.5","2","6.448646545410156","0.228","0.24222222222222223"
"cifar10","20","2","mixed_maturity","access_weight_matched","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","0","6","5","5","0.5","5","20","9","1.5","3","9.989794731140137","0.2045","0.0005555555555555556"
"cifar10","20","2","mixed_maturity","access_weight_matched","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","0","6","5","5","0.5","5","20","9","1.5","4","6.645346641540527","0.2265","0.21"
"cifar10","20","2","mixed_maturity","access_weight_matched","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","0","6","5","5","0.5","5","20","9","1.5","5","7.185884952545166","0.2885","0.08277777777777778"
"cifar10","20","2","mixed_maturity","access_weight_matched","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","0","6","5","5","0.5","5","20","9","1.5","6","7.5670623779296875","0.2455","0.07444444444444444"
"cifar10","20","2","mixed_maturity","access_weight_matched","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","0","6","5","5","0.5","5","20","9","1.5","7","7.032575607299805","0.2875","0.075"
"cifar10","20","2","mixed_maturity","access_weight_matched","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","0","6","5","5","0.5","5","20","9","1.5","8","6.612590312957764","0.286","0.1661111111111111"
"cifar10","20","2","mixed_maturity","access_weight_matched","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","0","6","5","5","0.5","5","20","9","1.5","9","6.231928825378418","0.2835","0.057777777777777775"
"cifar10","20","2","mixed_maturity","access_weight_matched","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","0","6","5","5","0.5","5","20","9","1.5","10","5.8497819900512695","0.2775","0.09222222222222222"
"cifar10","20","2","mixed_maturity","access_weight_matched","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","0","6","5","5","0.5","5","20","9","1.5","11","6.722013473510742","0.3025","0.020555555555555556"
"cifar10","20","2","mixed_maturity","access_weight_matched","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","0","6","5","5","0.5","5","20","9","1.5","12","6.700579643249512","0.2975","0.06"
"cifar10","20","2","mixed_maturity","access_weight_matched","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","0","6","5","5","0.5","5","20","9","1.5","13","6.468993663787842","0.308","0.08944444444444444"
"cifar10","20","2","mixed_maturity","access_weight_matched","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","0","6","5","5","0.5","5","20","9","1.5","14","6.278853416442871","0.337","0.14444444444444443"
"cifar10","20","2","mixed_maturity","access_weight_matched","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","0","6","5","5","0.5","5","20","9","1.5","15","5.96703577041626","0.3195","0.14666666666666667"
"cifar10","20","2","mixed_maturity","access_weight_matched","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","0","6","5","5","0.5","5","20","9","1.5","16","7.340540885925293","0.2805","0.042222222222222223"
"cifar10","20","2","mixed_maturity","access_weight_matched","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","0","6","5","5","0.5","5","20","9","1.5","17","7.877011299133301","0.29","0.10555555555555556"
"cifar10","20","2","mixed_maturity","access_weight_matched","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","0","6","5","5","0.5","5","20","9","1.5","18","6.8550567626953125","0.311","0.1338888888888889"
"cifar10","20","2","mixed_maturity","access_weight_matched","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","0","6","5","5","0.5","5","20","9","1.5","19","6.027157306671143","0.3125","0.3088888888888889"
"cifar10","20","2","mixed_maturity","access_weight_matched","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","0","6","5","5","0.5","5","20","9","1.5","20","8.15167236328125","0.287","0.03666666666666667"
"cifar10","20","2","mixed_maturity","access_weight_matched","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","0","6","5","5","0.5","5","20","9","1.5","21","7.625279426574707","0.284","0.08444444444444445"
"cifar10","20","2","mixed_maturity","access_weight_matched","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","0","6","5","5","0.5","5","20","9","1.5","22","7.312313556671143","0.292","0.14777777777777779"
"cifar10","20","2","mixed_maturity","access_weight_matched","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","0","6","5","5","0.5","5","20","9","1.5","23","7.210316181182861","0.3155","0.16555555555555557"
"cifar10","20","2","mixed_maturity","access_weight_matched","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","0","6","5","5","0.5","5","20","9","1.5","24","7.99973726272583","0.3075","0.3327777777777778"
"cifar10","20","2","mixed_maturity","access_weight_matched","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","0","6","5","5","0.5","5","20","9","1.5","25","5.973536014556885","0.3545","0.11722222222222223"
"cifar10","20","2","mixed_maturity","access_weight_matched","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","0","6","5","5","0.5","5","20","9","1.5","26","5.5519256591796875","0.335","0.30277777777777776"
"cifar10","20","2","mixed_maturity","access_weight_matched","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","0","6","5","5","0.5","5","20","9","1.5","27","6.197073459625244","0.3205","0.04666666666666667"
"cifar10","20","2","mixed_maturity","access_weight_matched","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","0","6","5","5","0.5","5","20","9","1.5","28","5.789012908935547","0.3455","0.19777777777777777"
"cifar10","20","2","mixed_maturity","access_weight_matched","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","0","6","5","5","0.5","5","20","9","1.5","29","7.479936599731445","0.3215","0.04"
"cifar10","20","2","mixed_maturity","access_weight_matched","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","0","6","5","5","0.5","5","20","9","1.5","30","6.514561176300049","0.3145","0.2411111111111111"
"cifar10","20","2","mixed_maturity","access_weight_matched","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","0","6","5","5","0.5","5","20","9","1.5","31","5.68466329574585","0.3495","0.25722222222222224"
"cifar10","20","2","mixed_maturity","access_weight_matched","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","0","6","5","5","0.5","5","20","9","1.5","32","6.1850128173828125","0.343","0.21777777777777776"
"cifar10","20","2","mixed_maturity","access_weight_matched","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","0","6","5","5","0.5","5","20","9","1.5","33","6.160270690917969","0.3415","0.255"
"cifar10","20","2","mixed_maturity","access_weight_matched","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","0","6","5","5","0.5","5","20","9","1.5","34","6.985431671142578","0.316","0.30666666666666664"
