dataset,client_count,attacker_count,cohort_mode,variant,trust_estimator,attack_scenario,noniid_alpha,repeat,stage,attacker_fraction,normal_nodes,target_initial_limited_rate,target_initial_admitted_rate,normal_initial_admitted_rate,target_onboarding_seconds_mean,normal_onboarding_seconds_mean,target_returned_updates_after_start,target_aggregated_updates_after_start,target_effective_aggregation_share_after_start,target_rffl_removals,normal_rffl_removals,update_payload_bytes,server_processing_seconds,configuration_runtime_seconds,controller_state_bytes,configured_access_lease_full_updates,final_accuracy,final_backdoor_asr,total_rounds,target_full_access_round_mean,target_promoted_rate,target_effective_aggregation_share_early,target_effective_aggregation_share_late,backdoor_asr_auc_after_start,backdoor_asr_at_round_8,backdoor_asr_growth_round_8_to_final,first_round_asr_ge_10pct,first_round_asr_ge_20pct,first_round_asr_ge_30pct,target_effective_aggregation_share_sustained,target_limited_returned_update_rate_after_start,target_full_weight_aggregated_update_rate_after_start,target_lease_expirations,target_lease_renewals,normal_lease_expirations,lease_full_updates
cifar10,20,2,mixed_maturity,access_weight_matched,dirichlet_lcb,benign_concept_drift,0.5,0,formal,0.1,18,1.0,0.0,1.0,2.8810315132141113,9.781110803286234,90,90,0.06618208272142632,0,0,122920000,64.14213089000002,221.4191793,8351415,5,0.3285,0.065,50,5.0,1.0,0.06618208272142644,0.06618208272142632,0.060839646464646464,0.13111111111111112,-0.06611111111111112,8.0,nan,nan,0.06618208272142632,0.0,0.0,0,0,0,0
cifar10,20,2,mixed_maturity,access_weight_matched,dirichlet_lcb,benign_concept_drift,0.5,1,formal,0.1,18,1.0,0.0,1.0,3.134627342224121,14.432944191826714,90,90,0.015405230975182592,0,0,122920000,59.34682426,184.9051578,8322767,5,0.341,0.1661111111111111,50,5.0,1.0,0.015405230975182637,0.015405230975182618,0.06919823232323231,0.005,0.1611111111111111,6.0,10.0,nan,0.015405230975182618,0.0,0.0,0,0,0,0
cifar10,20,2,mixed_maturity,access_weight_matched,dirichlet_lcb,benign_concept_drift,0.5,2,formal,0.1,18,1.0,0.0,1.0,3.1737107038497925,16.244956413904827,90,90,0.06984027876931768,0,0,122920000,63.84776391999998,190.3941655,8343295,5,0.364,0.06444444444444444,50,5.0,1.0,0.06984027876931784,0.06984027876931768,0.12047979797979796,0.17888888888888888,-0.11444444444444443,6.0,12.0,15.0,0.06984027876931768,0.0,0.0,0,0,0,0
cifar10,20,2,mixed_maturity,access_weight_matched,dirichlet_lcb,benign_concept_drift,0.5,3,formal,0.1,18,1.0,0.0,1.0,2.9865816831588745,14.567463172806633,90,90,0.08247344476860397,0,0,122920000,60.792757239999986,184.2299049,8322767,5,0.3205,0.022222222222222223,50,5.0,1.0,0.08247344476860402,0.08247344476860403,0.051496212121212116,0.09944444444444445,-0.07722222222222222,6.0,6.0,nan,0.08247344476860403,0.0,0.0,0,0,0,0
cifar10,20,2,mixed_maturity,access_weight_matched,dirichlet_lcb,benign_concept_drift,0.5,4,formal,0.1,18,1.0,0.0,1.0,2.4370123147964478,11.41078515847524,90,90,0.09908666297183764,0,0,122920000,60.02075806999999,181.1990457,8331031,5,0.3795,0.057777777777777775,50,5.0,1.0,0.09908666297183756,0.0990866629718376,0.08383207070707072,0.17222222222222222,-0.11444444444444445,6.0,6.0,nan,0.0990866629718376,0.0,0.0,0,0,0,0
cifar10,20,2,mixed_maturity,access_weight_matched,dirichlet_lcb,benign_concept_drift,0.5,5,formal,0.1,18,1.0,0.0,1.0,2.6899524927139282,11.175117214520773,90,90,0.0866356703718527,0,0,122920000,63.54310975000002,160.0118223,8412879,5,0.314,0.03277777777777778,50,5.0,1.0,0.0866356703718529,0.08663567037185269,0.08422348484848484,0.07722222222222222,-0.04444444444444444,7.0,21.0,nan,0.08663567037185269,0.0,0.0,0,0,0,0
cifar10,20,2,mixed_maturity,access_weight_matched,dirichlet_lcb,benign_concept_drift,0.5,6,formal,0.1,18,1.0,0.0,1.0,3.7983062267303467,3.441073046790229,90,90,0.0784661443508389,0,0,122920000,61.77039473999999,129.2564162,8343247,5,0.34,0.12833333333333333,50,5.0,1.0,0.078466144350839,0.07846614435083887,0.07454545454545455,0.08277777777777778,0.045555555555555544,7.0,7.0,nan,0.07846614435083887,0.0,0.0,0,0,0,0
cifar10,20,2,mixed_maturity,access_weight_matched,dirichlet_lcb,benign_concept_drift,0.5,7,formal,0.1,18,1.0,0.0,1.0,2.6175246238708496,6.38435423374176,90,90,0.0789323705278963,0,0,122920000,62.27413070999999,159.0297903,8330935,5,0.3335,0.005,50,5.0,1.0,0.0789323705278962,0.07893237052789634,0.05328282828282827,0.009444444444444445,-0.0044444444444444444,9.0,nan,nan,0.07893237052789634,0.0,0.0,0,0,0,0
cifar10,20,2,mixed_maturity,access_weight_matched,dirichlet_lcb,benign_concept_drift,0.5,8,formal,0.1,18,1.0,0.0,1.0,2.9323372840881348,6.300642079777187,90,90,0.07927005155632989,0,0,122920000,61.19975594000001,153.3074694,8331007,5,0.341,0.03388888888888889,50,5.0,1.0,0.07927005155632996,0.0792700515563299,0.06122474747474749,0.22777777777777777,-0.1938888888888889,8.0,8.0,nan,0.0792700515563299,0.0,0.0,0,0,0,0
cifar10,20,2,mixed_maturity,access_weight_matched,dirichlet_lcb,benign_concept_drift,0.5,9,formal,0.1,18,1.0,0.0,1.0,2.8553168773651123,14.683149523205227,90,90,0.04748926523323522,0,0,122920000,60.29585500999999,180.2638078,8339151,5,0.3425,0.011111111111111112,50,5.0,1.0,0.04748926523323544,0.04748926523323521,0.073655303030303,0.20444444444444446,-0.19333333333333336,8.0,8.0,nan,0.04748926523323521,0.0,0.0,0,0,0,0
