"dataset","client_count","attacker_count","attacker_fraction","cohort_mode","variant","trust_estimator","attack_scenario","noniid_alpha","repeat","rounds","configuration_runtime_seconds","controller_state_bytes","access_lease_full_updates","max_local_train_samples","validation_samples_per_class","test_samples_per_class","rffl_reputation_fade","rffl_reputation_threshold_scale"
"cifar10","20","2","0.1","mixed_maturity","access_weight_matched","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","0","50","210.7309519","8331007","5","512","100","200","0.95","0.333333333333333"
"cifar10","20","2","0.1","mixed_maturity","access_weight_matched","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","1","50","190.6330723","8318671","5","512","100","200","0.95","0.333333333333333"
"cifar10","20","2","0.1","mixed_maturity","access_weight_matched","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","2","50","185.2257247","8425215","5","512","100","200","0.95","0.333333333333333"
"cifar10","20","2","0.1","mixed_maturity","access_weight_matched","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","3","50","191.0921229","8339151","5","512","100","200","0.95","0.333333333333333"
"cifar10","20","2","0.1","mixed_maturity","access_weight_matched","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","4","50","190.616643","8310479","5","512","100","200","0.95","0.333333333333333"
"cifar10","20","2","0.1","mixed_maturity","access_weight_matched","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","5","50","153.8754822","8310479","5","512","100","200","0.95","0.333333333333333"
"cifar10","20","2","0.1","mixed_maturity","access_weight_matched","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","6","50","123.7912833","8421071","5","512","100","200","0.95","0.333333333333333"
"cifar10","20","2","0.1","mixed_maturity","access_weight_matched","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","7","50","165.5367317","8330959","5","512","100","200","0.95","0.333333333333333"
"cifar10","20","2","0.1","mixed_maturity","access_weight_matched","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","8","50","160.4341887","8331007","5","512","100","200","0.95","0.333333333333333"
"cifar10","20","2","0.1","mixed_maturity","access_weight_matched","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","9","50","186.1027087","8343295","5","512","100","200","0.95","0.333333333333333"
"cifar10","20","2","0.1","mixed_maturity","access_weight_matched","dirichlet_lcb","benign_concept_drift","0.5","0","50","221.4191793","8351415","5","512","100","200","0.95","0.333333333333333"
"cifar10","20","2","0.1","mixed_maturity","access_weight_matched","dirichlet_lcb","benign_concept_drift","0.5","1","50","184.9051578","8322767","5","512","100","200","0.95","0.333333333333333"
"cifar10","20","2","0.1","mixed_maturity","access_weight_matched","dirichlet_lcb","benign_concept_drift","0.5","2","50","190.3941655","8343295","5","512","100","200","0.95","0.333333333333333"
"cifar10","20","2","0.1","mixed_maturity","access_weight_matched","dirichlet_lcb","benign_concept_drift","0.5","3","50","184.2299049","8322767","5","512","100","200","0.95","0.333333333333333"
"cifar10","20","2","0.1","mixed_maturity","access_weight_matched","dirichlet_lcb","benign_concept_drift","0.5","4","50","181.1990457","8331031","5","512","100","200","0.95","0.333333333333333"
"cifar10","20","2","0.1","mixed_maturity","access_weight_matched","dirichlet_lcb","benign_concept_drift","0.5","5","50","160.0118223","8412879","5","512","100","200","0.95","0.333333333333333"
"cifar10","20","2","0.1","mixed_maturity","access_weight_matched","dirichlet_lcb","benign_concept_drift","0.5","6","50","129.2564162","8343247","5","512","100","200","0.95","0.333333333333333"
"cifar10","20","2","0.1","mixed_maturity","access_weight_matched","dirichlet_lcb","benign_concept_drift","0.5","7","50","159.0297903","8330935","5","512","100","200","0.95","0.333333333333333"
"cifar10","20","2","0.1","mixed_maturity","access_weight_matched","dirichlet_lcb","benign_concept_drift","0.5","8","50","153.3074694","8331007","5","512","100","200","0.95","0.333333333333333"
"cifar10","20","2","0.1","mixed_maturity","access_weight_matched","dirichlet_lcb","benign_concept_drift","0.5","9","50","180.2638078","8339151","5","512","100","200","0.95","0.333333333333333"
